,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,0,1,0,1,10,49092,1.113197,2.149197,13.86385,8.14985,204,204,320.5,226.486589629817,240.5,71.4488936816294,273.4932948149085,155.9744468408147,47.006705185091505,84.5255531591853,-0.5075329256588237,344.2,223.5,28.974910258068235,93.37876130642502,97.77084681839166,1.269922055851271
1,23,24,0,24,10,702208,15.923084,16.959084,28.85955,23.14555,579,579,368.25631831559,373.653328471291,144.321024277522,136.219580332451,370.9548233934405,140.2703023049865,-2.698505077850484,4.050721972535513,0.5876647693797836,344.2,223.5,23.877760381544086,84.10027177351503,87.4242709618875,1.2941561973484532
2,26,27,0,27,10,798501,18.106599,19.142599,31.04305,25.32905,633,633,319.018774599397,315.380108183004,175.392183054888,166.978219318319,317.1994413912005,171.18520118660348,1.8193332081964968,4.206981868284515,-0.408168689491623,344.2,223.5,4.017175343173718,58.734407652887484,58.871625933664944,1.5025070740976831
3,30,31,0,31,10,915826,20.767029,21.803029,33.7035,27.9895,700,700,233.621100088352,224.322783082659,383.750489500753,381.457055498991,228.97194158550548,382.603772499872,4.649158502846518,1.14671700088104,-1.3289726646910598,344.2,223.5,182.06838999931264,73.7740959464999,196.44723431411595,0.384981008223072
4,41,42,0,42,10,1205820,27.342857,28.378857,40.27935,34.56535,864,864,428.520580698535,428.583038212494,437.93560674718,446.675328467603,428.5518094555145,442.3054676073915,-0.03122875697948757,-4.369860860211531,-3.1487389281204976,344.2,223.5,82.78602494193652,219.40267657351342,234.50172795378006,1.209989219137976
5,42,43,0,43,10,1239452,28.105488,29.141488,41.042,35.328,883,883,426.223941110988,426.622690778102,450.398207330113,460.091088195142,426.42331594454504,455.2446477626275,-0.19937483355704444,-4.846440432514498,-3.182707875887128,344.2,223.5,72.62827964162564,234.9284751745488,245.8988724080303,1.2709657698262697
6,55,56,0,56,10,1627484,36.904399,37.940399,49.9338,44.2198,1105,1105,419.264560648157,424.341531984507,325.933344173842,335.534791636998,421.80304631633203,330.73406790542003,-2.538485668175042,-4.800723731578046,-3.6279916184663894,344.2,223.5,18.476704549168364,131.0724589916652,132.36834257902836,1.4307534975957341
7,88,89,1,6,10,193507,4.387914,66.832914,78.53235,72.81835,1820,1820,320.5,345.516211342768,240.5,32.2399306532089,333.008105671384,136.36996532660444,-12.508105671383987,104.13003467339556,0.11954727678324462,344.2,223.5,21.50338034755849,85.17338829985721,87.84589598182728,1.323498120055581
8,92,93,1,10,10,294113,6.669229,69.114229,80.81365,75.09965,1877,1877,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,344.2,223.5,17.000000000000004,23.699999999999985,29.166590476090953,0.9485540176231186
9,122,123,1,40,10,1142675,25.910998,88.355998,100.05545,94.34145,2359,2359,320.5,320.5,240.5,240.5,320.5,240.5,0.0,0.0,-1.5707963267948966,344.2,223.5,17.000000000000004,23.699999999999985,29.166590476090953,0.9485540176231186
