Chan,MeanRate
A24,"[ 4.54545455  1.13636364  9.09090909  2.27272727  6.81818182  7.95454545
  5.68181818  7.95454545  7.95454545 15.90909091  5.68181818  2.27272727
 13.63636364  4.54545455  6.81818182 15.90909091  4.54545455  7.95454545
 12.5        10.22727273 10.22727273  6.81818182  7.95454545 23.86363636
 17.04545455  9.09090909  0.          1.13636364  3.40909091 10.22727273
  2.27272727  5.68181818  4.54545455  9.09090909  7.95454545  4.54545455
  3.40909091  6.81818182  7.95454545 14.77272727  2.27272727  1.13636364
  3.40909091  2.27272727  5.68181818  9.09090909  4.54545455  6.81818182
 10.22727273  3.40909091]"
A03,"[15.90909091 15.90909091  9.09090909  5.68181818  6.81818182  2.27272727
  5.68181818  5.68181818  7.95454545  5.68181818 13.63636364  6.81818182
 12.5         6.81818182 14.77272727 11.36363636 11.36363636 14.77272727
  9.09090909 11.36363636 18.18181818 15.90909091 10.22727273 25.
 10.22727273  7.95454545 10.22727273  9.09090909  9.09090909  9.09090909
  2.27272727 14.77272727  5.68181818 12.5        12.5         7.95454545
  5.68181818 10.22727273  9.09090909  6.81818182  3.40909091 10.22727273
  6.81818182 14.77272727 21.59090909 13.63636364 18.18181818 11.36363636
  4.54545455  6.81818182]"
A21,"[31.81818182 44.31818182 20.45454545 18.18181818 28.40909091 25.
 28.40909091 17.04545455 28.40909091 31.81818182 29.54545455 22.72727273
 26.13636364 17.04545455 35.22727273 17.04545455 26.13636364 26.13636364
 23.86363636 31.81818182 44.31818182 32.95454545 26.13636364 40.90909091
 20.45454545 19.31818182 22.72727273 25.         35.22727273 23.86363636
 26.13636364 32.95454545 31.81818182 14.77272727 26.13636364 12.5
 28.40909091 27.27272727 15.90909091 35.22727273 12.5        21.59090909
 27.27272727 20.45454545 19.31818182 31.81818182 23.86363636 18.18181818
 39.77272727 15.90909091]"
A09,"[28.40909091 18.18181818 18.18181818 30.68181818 28.40909091 29.54545455
 19.31818182 31.81818182 34.09090909 27.27272727 35.22727273 28.40909091
 32.95454545 34.09090909 27.27272727 32.95454545 28.40909091 23.86363636
 34.09090909 40.90909091 37.5        32.95454545 20.45454545 39.77272727
 31.81818182 31.81818182 27.27272727 27.27272727 26.13636364 23.86363636
 26.13636364 22.72727273 27.27272727 21.59090909 28.40909091 23.86363636
 31.81818182 20.45454545 31.81818182 22.72727273 15.90909091 32.95454545
 30.68181818 25.         20.45454545 25.         29.54545455 29.54545455
 21.59090909 32.95454545]"
A16,"[ 4.54545455  6.81818182 14.77272727  4.54545455  7.95454545  6.81818182
  9.09090909 10.22727273  9.09090909 10.22727273  3.40909091  7.95454545
 15.90909091  7.95454545 12.5        19.31818182  9.09090909 18.18181818
 18.18181818 11.36363636  9.09090909 23.86363636  6.81818182 21.59090909
 15.90909091  2.27272727  3.40909091  3.40909091 11.36363636 11.36363636
  7.95454545 17.04545455 10.22727273  7.95454545  6.81818182 12.5
 19.31818182 12.5         9.09090909 12.5         7.95454545 10.22727273
  4.54545455 13.63636364  7.95454545 12.5        14.77272727 13.63636364
 12.5         4.54545455]"
A12,"[11.36363636 13.63636364 15.90909091 17.04545455 11.36363636 12.5
  7.95454545 13.63636364  9.09090909 11.36363636 12.5        12.5
 21.59090909 18.18181818 20.45454545 12.5        11.36363636 22.72727273
 21.59090909 12.5         7.95454545 18.18181818 11.36363636 20.45454545
 15.90909091 15.90909091 12.5        18.18181818  7.95454545 17.04545455
 14.77272727 19.31818182 13.63636364 15.90909091 17.04545455 19.31818182
 23.86363636 14.77272727 18.18181818 21.59090909 18.18181818  5.68181818
 13.63636364 17.04545455 27.27272727 11.36363636 19.31818182 22.72727273
 12.5        17.04545455]"
A18,"[ 4.54545455  4.54545455 11.36363636 10.22727273  9.09090909  1.13636364
  2.27272727  7.95454545  3.40909091  7.95454545  2.27272727  2.27272727
 17.04545455  3.40909091  9.09090909 11.36363636  7.95454545 10.22727273
 15.90909091 13.63636364 14.77272727 11.36363636  4.54545455 21.59090909
  5.68181818  2.27272727  7.95454545 10.22727273 13.63636364  6.81818182
  6.81818182 14.77272727 12.5        10.22727273 11.36363636 12.5
 11.36363636  7.95454545  4.54545455  5.68181818  4.54545455  4.54545455
  7.95454545 15.90909091  7.95454545  7.95454545 12.5         6.81818182
  6.81818182  5.68181818]"
A07,"[15.90909091 11.36363636  7.95454545 11.36363636  9.09090909 12.5
  7.95454545  7.95454545 12.5        10.22727273  7.95454545  9.09090909
 13.63636364  9.09090909 15.90909091 12.5        11.36363636 10.22727273
  7.95454545 15.90909091 12.5        14.77272727 18.18181818 17.04545455
  9.09090909  7.95454545 14.77272727  4.54545455  9.09090909 10.22727273
  6.81818182  5.68181818  7.95454545 15.90909091 12.5        14.77272727
 13.63636364 13.63636364 12.5         4.54545455  4.54545455  4.54545455
  9.09090909 14.77272727 14.77272727 14.77272727 29.54545455 12.5
 12.5         5.68181818]"
A15,"[29.54545455 30.68181818 20.45454545  9.09090909 19.31818182 12.5
  7.95454545 22.72727273 21.59090909 29.54545455  9.09090909 12.5
 17.04545455 14.77272727 19.31818182 15.90909091 15.90909091 15.90909091
 25.         21.59090909 31.81818182 30.68181818 25.         27.27272727
 15.90909091 18.18181818 15.90909091 19.31818182 22.72727273 20.45454545
  7.95454545 20.45454545 22.72727273 15.90909091 22.72727273 27.27272727
 17.04545455 21.59090909 14.77272727 19.31818182 14.77272727 17.04545455
 13.63636364 22.72727273 30.68181818 30.68181818 28.40909091 22.72727273
 22.72727273 15.90909091]"
A26,"[13.63636364  6.81818182 14.77272727 18.18181818 14.77272727  9.09090909
  5.68181818 11.36363636 10.22727273 14.77272727 14.77272727  6.81818182
 19.31818182  7.95454545 12.5        12.5        11.36363636  7.95454545
 13.63636364 13.63636364 13.63636364 18.18181818  9.09090909 15.90909091
 12.5         7.95454545 10.22727273  9.09090909 19.31818182 15.90909091
  6.81818182 12.5        11.36363636  5.68181818  7.95454545 15.90909091
  4.54545455 18.18181818 15.90909091 15.90909091  3.40909091 12.5
  5.68181818  5.68181818  7.95454545  5.68181818  9.09090909 13.63636364
  7.95454545 11.36363636]"
A19,"[ 6.81818182  3.40909091  6.81818182  4.54545455  9.09090909  6.81818182
  7.95454545  5.68181818  6.81818182 17.04545455 15.90909091  3.40909091
 15.90909091  5.68181818 13.63636364 10.22727273 14.77272727  4.54545455
 12.5         9.09090909 23.86363636 14.77272727 10.22727273 20.45454545
 14.77272727  6.81818182  1.13636364  2.27272727  7.95454545 10.22727273
  1.13636364 12.5         6.81818182  4.54545455  9.09090909  5.68181818
  5.68181818  6.81818182  6.81818182  6.81818182  6.81818182  4.54545455
  6.81818182  5.68181818 11.36363636 11.36363636  9.09090909 12.5
 14.77272727  6.81818182]"
A30,"[ 5.68181818  7.95454545  4.54545455  3.40909091 10.22727273  3.40909091
 12.5         5.68181818  4.54545455 14.77272727  6.81818182  4.54545455
 21.59090909 11.36363636 20.45454545 21.59090909 12.5         5.68181818
 22.72727273 17.04545455 17.04545455 14.77272727 13.63636364 25.
 13.63636364  5.68181818  2.27272727  7.95454545  5.68181818 11.36363636
  3.40909091 10.22727273  9.09090909  9.09090909  5.68181818  6.81818182
  5.68181818 14.77272727 11.36363636 15.90909091  6.81818182 15.90909091
  1.13636364 10.22727273 12.5        17.04545455 13.63636364  6.81818182
 18.18181818  1.13636364]"
A01,"[18.18181818 20.45454545 17.04545455 15.90909091 10.22727273  6.81818182
  7.95454545  9.09090909 12.5        26.13636364  9.09090909 11.36363636
 21.59090909 13.63636364 23.86363636 15.90909091 18.18181818 21.59090909
 27.27272727 28.40909091 25.         20.45454545  7.95454545 29.54545455
 15.90909091  6.81818182  7.95454545  6.81818182 12.5        20.45454545
 12.5        13.63636364 13.63636364 10.22727273 11.36363636  6.81818182
 23.86363636 20.45454545 10.22727273 12.5        11.36363636 19.31818182
  9.09090909 17.04545455 19.31818182 28.40909091 25.         15.90909091
 13.63636364  9.09090909]"
A06,"[23.86363636 21.59090909 18.18181818 19.31818182 26.13636364 25.
 22.72727273 27.27272727 27.27272727 22.72727273 30.68181818 22.72727273
 38.63636364 23.86363636 20.45454545 29.54545455 19.31818182 20.45454545
 20.45454545 29.54545455 22.72727273 32.95454545 17.04545455 26.13636364
 26.13636364 29.54545455 17.04545455  9.09090909 18.18181818 13.63636364
 14.77272727 19.31818182 13.63636364 26.13636364 30.68181818 19.31818182
 27.27272727 23.86363636 30.68181818 22.72727273 25.         19.31818182
 18.18181818 26.13636364 21.59090909 20.45454545 32.95454545 27.27272727
 28.40909091 29.54545455]"
A29,"[26.13636364 11.36363636 19.31818182 14.77272727 21.59090909 17.04545455
 20.45454545 11.36363636 20.45454545 27.27272727 19.31818182 21.59090909
 26.13636364 13.63636364 22.72727273 28.40909091 18.18181818 17.04545455
 28.40909091 19.31818182 30.68181818 20.45454545 14.77272727 18.18181818
 30.68181818 14.77272727 11.36363636  5.68181818 18.18181818 19.31818182
 14.77272727 12.5        17.04545455 12.5        18.18181818 19.31818182
 10.22727273 19.31818182 18.18181818 13.63636364 18.18181818 17.04545455
 19.31818182 21.59090909 19.31818182 28.40909091 20.45454545 12.5
 17.04545455 13.63636364]"
A10,"[ 4.54545455  1.13636364  7.95454545  2.27272727  9.09090909  7.95454545
  9.09090909  9.09090909  7.95454545  6.81818182  5.68181818  2.27272727
 13.63636364  1.13636364  6.81818182  5.68181818  3.40909091 10.22727273
 13.63636364  7.95454545  9.09090909 12.5         3.40909091 20.45454545
  2.27272727  3.40909091  3.40909091  0.          5.68181818  9.09090909
  9.09090909  6.81818182  2.27272727  3.40909091  1.13636364  2.27272727
  4.54545455  6.81818182  6.81818182  3.40909091  4.54545455  6.81818182
  2.27272727  3.40909091  6.81818182  6.81818182  4.54545455 12.5
 12.5         4.54545455]"
A08,"[ 1.13636364  0.          1.13636364  1.13636364  3.40909091  2.27272727
  2.27272727  7.95454545 10.22727273  7.95454545  6.81818182  2.27272727
 10.22727273  4.54545455 10.22727273  9.09090909  2.27272727  3.40909091
  7.95454545  6.81818182  7.95454545  9.09090909  3.40909091 12.5
  9.09090909  3.40909091  1.13636364  0.          4.54545455  3.40909091
  1.13636364  4.54545455  1.13636364  5.68181818  3.40909091  3.40909091
  1.13636364  4.54545455  6.81818182  3.40909091  2.27272727  1.13636364
  0.          3.40909091  9.09090909  9.09090909  2.27272727  5.68181818
  4.54545455  4.54545455]"
A05,"[26.13636364 19.31818182 29.54545455 23.86363636 22.72727273 18.18181818
 21.59090909 21.59090909 14.77272727 28.40909091 15.90909091 17.04545455
 23.86363636 22.72727273 32.95454545 22.72727273 21.59090909 29.54545455
 25.         20.45454545 28.40909091 37.5        15.90909091 22.72727273
 30.68181818 19.31818182 21.59090909 20.45454545 29.54545455 19.31818182
 20.45454545 25.         17.04545455 20.45454545 15.90909091 26.13636364
 12.5        20.45454545 22.72727273 29.54545455 21.59090909 17.04545455
 27.27272727 26.13636364 27.27272727 19.31818182 21.59090909 26.13636364
 27.27272727 22.72727273]"
A32,"[19.31818182 12.5        14.77272727 18.18181818 13.63636364 12.5
 13.63636364 20.45454545 15.90909091 26.13636364 23.86363636 20.45454545
 32.95454545 13.63636364 17.04545455 21.59090909 21.59090909 23.86363636
 34.09090909 18.18181818 22.72727273 22.72727273 19.31818182 26.13636364
 22.72727273 11.36363636  9.09090909  4.54545455 19.31818182 14.77272727
 18.18181818 20.45454545 21.59090909 20.45454545 22.72727273 11.36363636
 19.31818182 10.22727273 12.5        26.13636364 17.04545455 18.18181818
  9.09090909 18.18181818 28.40909091 25.         22.72727273 18.18181818
 21.59090909 11.36363636]"
A31,"[52.27272727 48.86363636 45.45454545 48.86363636 56.81818182 47.72727273
 39.77272727 29.54545455 45.45454545 30.68181818 43.18181818 65.90909091
 53.40909091 52.27272727 44.31818182 48.86363636 40.90909091 55.68181818
 60.22727273 54.54545455 60.22727273 37.5        48.86363636 53.40909091
 59.09090909 54.54545455 48.86363636 51.13636364 37.5        53.40909091
 38.63636364 51.13636364 46.59090909 47.72727273 44.31818182 42.04545455
 51.13636364 52.27272727 45.45454545 35.22727273 50.         45.45454545
 52.27272727 64.77272727 51.13636364 46.59090909 29.54545455 38.63636364
 39.77272727 45.45454545]"
A22,"[ 4.54545455  0.          0.          0.          3.40909091  0.
  1.13636364  6.81818182  3.40909091  3.40909091  1.13636364  1.13636364
  7.95454545  3.40909091  7.95454545  9.09090909  1.13636364  1.13636364
  2.27272727  2.27272727  7.95454545  5.68181818  0.         19.31818182
  4.54545455  0.          1.13636364  1.13636364  1.13636364  0.
  0.          0.          0.          1.13636364  7.95454545  0.
  0.          0.          0.          0.          0.          2.27272727
  0.          4.54545455  5.68181818  1.13636364  3.40909091  5.68181818
  4.54545455  0.        ]"
A20,"[ 1.13636364  1.13636364  1.13636364  0.          3.40909091  0.
  1.13636364  2.27272727  1.13636364  0.          0.          0.
 10.22727273  5.68181818  7.95454545  0.          0.          1.13636364
  2.27272727  1.13636364  2.27272727  2.27272727  0.         10.22727273
  2.27272727  0.          0.          0.          0.          1.13636364
  2.27272727  4.54545455  0.          2.27272727  6.81818182  0.
  0.          0.          0.          1.13636364  1.13636364  4.54545455
  0.          2.27272727  1.13636364  2.27272727  3.40909091  4.54545455
  0.          1.13636364]"
B30,"[14.77272727 14.77272727  9.09090909 12.5        18.18181818 10.22727273
 13.63636364 11.36363636 18.18181818 11.36363636 22.72727273 26.13636364
 22.72727273 21.59090909 26.13636364 21.59090909 17.04545455 18.18181818
 27.27272727 19.31818182 20.45454545 19.31818182 13.63636364 13.63636364
 14.77272727 18.18181818  9.09090909 12.5         9.09090909 13.63636364
 17.04545455 18.18181818 23.86363636 15.90909091 19.31818182 12.5
  7.95454545 18.18181818 13.63636364 12.5        12.5        21.59090909
  4.54545455 12.5        22.72727273 18.18181818 23.86363636 26.13636364
 21.59090909 13.63636364]"
B19,"[1.13636364 0.         0.         3.40909091 0.         1.13636364
 3.40909091 0.         0.         1.13636364 2.27272727 9.09090909
 0.         4.54545455 7.95454545 0.         4.54545455 7.95454545
 6.81818182 1.13636364 0.         0.         3.40909091 1.13636364
 1.13636364 0.         0.         0.         2.27272727 0.
 0.         4.54545455 0.         0.         1.13636364 1.13636364
 0.         0.         0.         0.         1.13636364 5.68181818
 0.         1.13636364 0.         0.         0.         2.27272727
 2.27272727 0.        ]"
