Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A11,B30,B19,B16,A25,A13,B06,A28,A04,B21,B26,B11,A14,A02,A17,B29,B17,B01,A27,B32,A23,A24,A03,B13,B15,B10,B07,B08,A21,B02,A09,A16,A12,A18,A07,B03,A15,A26,B28,B04,B12,A19,B20,B22,A30,B05,B27,A01,B23,B25,A06,A29,A10,A08,A05,B18,A32,A31,B14,B09,A22,B31,A20,B24
10,3,4,0,4,9,117762,2.67034,3.70634,15.421,9.707,243,243,222.845807726481,214.263424640317,115.231013375467,115.619861645324,218.554616183399,115.4254375103955,4.2911915430820216,-0.1944241349284965,-1.6160730895033009,339.6,160.2,-50.20734753953704,118.89477971083464,129.0610180861896,1.97036413901508,2,4,0,4,0,4,2,0,0,3,0,7,0,0,3,0,4,3,0,1,0,0,0,0,1,3,1,4,2,1,1,0,1,0,0,5,1,0,1,3,0,0,3,3,1,3,1,0,0,2,0,1,1,0,1,2,0,2,0,0,0,0,0,0
11,5,6,0,6,9,158372,3.591202,4.627202,16.34185,10.62785,266,266,231.352547770236,222.510333585416,238.768334828743,243.388765238831,226.931440677826,241.078550033787,4.421107092409983,-2.3102152050439884,-2.052314669733522,339.6,160.2,19.50240126224211,137.314239830793,138.69226407879438,1.4297123945808572,1,0,0,0,0,4,2,0,0,0,0,6,0,2,0,0,2,3,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0
12,8,9,0,9,9,253938,5.758231,6.794231,18.6018,12.8878,322,322,282.829150246307,279.756226172146,421.960974203533,433.030584303521,281.2926882092265,427.49577925352696,1.5364620370804687,-5.534805049993963,-2.870810827761772,339.6,160.2,15.314859328710432,273.1523957404703,273.58138864882,1.5147878778366053,0,1,0,0,0,2,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,1,0,2,0,0,0,0,0,0
13,67,68,0,68,9,1967345,44.610998,45.646998,57.64045,51.92645,1298,1298,269.998779759857,262.95548944179,376.582980784378,369.982517705717,266.4771346008235,373.2827492450475,3.5216451590334827,3.3002315393304684,-0.8178431827853017,339.6,160.2,205.48183012340047,-92.34949355113912,225.28029534340968,-0.4223789810958438,0,3,0,2,0,0,0,0,1,1,0,11,0,0,0,0,4,3,0,0,0,0,0,0,3,1,0,6,0,2,4,0,0,0,0,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0
14,68,69,0,69,9,1996858,45.280227,46.316227,58.30965,52.59565,1315,1315,263.307511601643,255.621793647424,427.134429711333,429.368746347942,259.4646526245335,428.2515880296375,3.842858977109472,-1.1171583183045186,-1.8537087338249725,339.6,160.2,235.0255408809947,151.77721461995895,279.77370810030953,0.5734101585927927,1,4,0,0,0,1,1,0,2,1,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
15,72,73,0,73,9,2117575,48.017574,49.053574,61.047,55.333,1383,1383,261.288010314319,256.234717856946,436.943278449764,429.543668745584,258.7613640856325,433.243473597674,2.526646228686502,3.69980485209004,-0.5991661497267098,339.6,160.2,220.74102157011004,-179.89170332998572,284.7588866581329,-0.6837873056461719,1,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
16,4,5,0,5,22,137098,3.108798,4.144798,15.85945,10.14545,254,254,228.194530550447,217.831157092641,166.817869304801,168.638613543328,223.012843821544,167.7282414240645,5.181686728903003,-0.910372119263485,-1.744711706771296,269.0,226.5,-65.84279153569592,35.123566764732786,74.62531835436116,2.6515476980434727,0,2,0,3,0,1,0,0,0,0,0,7,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,2,0,0,0,0,0,1,5,0,2,0,0,0,0,2,0,0,0,2,0,1,3,0,0,0,0,0,2
17,12,13,0,13,22,370052,8.391202,9.427202,21.23475,15.52075,388,388,382.906797058829,392.133579477096,384.041856482108,386.136794590658,387.5201882679625,385.089325536383,-4.613391209133511,-1.047469054274984,1.7940608372646345,269.0,226.5,-128.41105033531267,150.69243960112908,197.98386096133729,2.2765314402778456,0,0,0,0,0,5,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,1,2,2,0,0,0,2,0,3,0,0,0,0,0,0
18,27,28,0,28,22,837948,19.001088,20.037088,31.93755,26.22355,656,656,240.395131541653,232.442824907425,209.939509159447,205.821241349263,236.418978224539,207.880375254355,3.976153317114012,2.059133905092011,-1.0929544619204028,269.0,226.5,-1.5511961137063282,37.49409548473631,37.526169610042814,1.6121444905897593,3,5,2,6,0,3,3,1,0,3,0,4,1,2,1,0,3,6,2,3,2,2,2,0,2,3,0,3,3,2,2,1,0,2,2,7,2,2,1,2,0,3,2,10,0,4,0,1,0,2,1,3,1,0,0,4,8,4,0,0,0,0,0,5
19,28,29,0,29,22,867219,19.66483,20.70083,32.6013,26.8873,672,672,228.662829340156,221.074579531004,274.039500795608,274.914901195642,224.86870443558,274.477200995625,3.7941249045759946,-0.4377002000170478,-1.685651228473011,269.0,226.5,42.60354064622509,49.33884258851484,65.18729219386857,0.858523225571979,1,5,0,10,1,1,1,0,0,1,0,4,1,0,0,0,4,5,0,4,0,0,1,0,1,3,2,4,1,7,0,0,0,0,0,8,1,0,1,2,0,1,4,3,0,1,0,0,0,2,0,0,0,0,0,4,1,5,0,0,0,0,0,3
20,54,55,0,55,22,1597728,36.22966,37.26566,49.25905,43.54505,1089,1089,405.620900315973,408.732319818661,325.052541343802,334.722957971041,407.176610067317,329.8877496574215,-1.5557097513440112,-4.835208313619546,2.830306542380586,269.0,226.5,99.8699735624718,140.74015322413226,172.57404888603918,0.9536528295324098,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
