Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,8,9,0,9,9,295373,6.6978,7.7588,42.6713,45.0643,1127,1127,379.417646953227,373.123655917734,387.647086241073,379.928302162932,376.2706514354805,383.7876942020025,3.146995517746461,3.859392039070485,-0.6840682543185976,339.6,160.2,112.87645054808551,-196.4563579702533,226.5749184602539,-1.0492909235394303
1,18,19,0,19,9,564819,12.807687,13.868687,48.7812,51.1742,1279,1279,382.490001478249,375.149480435332,421.977638982404,419.977186360418,378.8197409567905,420.977412671411,3.670260521458488,1.000226310993014,-1.3047354573922385,339.6,160.2,241.28956386732747,-106.40673573147528,263.7101572566236,-0.4153375600796076
2,57,58,0,58,9,1725279,39.121973,40.182973,75.09555,77.48855,1937,1937,317.095978116823,316.035504091124,420.631136045778,412.264579506013,316.5657411039735,416.4478577758955,0.5302370128495113,4.183278269882521,-0.126079226109538,339.6,160.2,55.07343166174277,-251.3174463156589,257.2810558467622,-1.355067505782774
3,84,85,1,2,9,87328,1.980227,63.361227,98.23285,100.62585,2516,2516,216.779569314864,232.954268116254,353.029757072941,282.76294940695,224.866918715559,317.8963532399455,-8.08734940069499,35.1334038329955,0.2262485958704012,339.6,160.2,76.43411497471705,-179.41473137463254,195.01748579601733,-1.1680627498624132
4,109,110,1,27,9,824428,18.694512,80.075512,114.9472,117.3402,2934,2934,260.641950917723,255.725478295186,394.343660694653,313.327457958658,258.1837146064545,353.83555932665547,2.458236311268536,40.50810136799754,-0.0606107235230706,339.6,160.2,92.9959900548737,-188.348313495884,210.05556732214924,-1.1121654319875305
5,160,161,1,78,9,2266110,51.385714,112.766714,147.6385,150.0315,3751,3751,221.860254818595,229.649893641884,209.808653588616,211.313534352364,225.7550742302395,210.56109397049,-3.894819411644505,-0.7524403818739813,1.7616353713565696,339.6,160.2,-71.04123117972624,-102.22548792691332,124.48657320943012,-2.178122530798431
6,163,164,1,81,9,2361192,53.541769,114.922769,149.79455,152.18755,3805,3805,223.925523226813,231.172166907207,161.003274369017,164.739803393258,227.54884506701,162.8715388811375,-3.623321840197008,-1.868264512120504,2.046863299898087,339.6,160.2,-53.72606701418391,-98.36721082249808,112.08299800509604,-2.0707009198270736
7,258,259,3,10,9,315194,7.147256,189.078256,223.95825,226.35125,5659,5659,258.267738068738,261.106763486033,135.082478134937,237.866547453492,259.68725077738554,186.4745127942145,-1.4195127086475168,-51.3920346592775,3.113978415603944,339.6,160.2,-80.60774102129983,24.05804643633537,84.12132613606262,2.8515508954665467
8,302,303,3,54,9,1609892,36.505488,218.436488,253.31655,255.70955,6393,6393,314.924667056266,311.672583721735,100.129988676485,107.516164806955,313.2986253890005,103.82307674172,1.626041667265497,-3.693088065235002,-2.7268401382784853,339.6,160.2,-46.78927983548659,-40.99857406026031,62.21028679003273,-2.4220615643369863
9,315,316,3,67,9,2011008,45.601088,227.532088,262.4122,264.8052,6620,6620,386.998636627141,380.038564562266,91.8737951020033,100.724374300968,383.5186005947035,96.29908470148564,3.4800360324375106,-4.4252895994823405,-2.475201217485709,339.6,160.2,-4.978031027084166,-77.37822472296959,77.53818707053316,-1.6350415366911148
10,353,354,4,22,9,611197,13.859342,256.050342,290.94955,293.34255,7334,7334,209.925532829131,238.713765116328,368.441910367967,371.742140404746,224.3196489727295,370.0920253863565,-14.394116143598524,-1.6501150183894993,1.684936223763717,339.6,160.2,-221.6558168236864,-90.62516494871622,239.4665355613549,-2.753475747001348
11,406,407,4,75,9,2162790,49.042857,291.233857,326.13315,328.52615,8213,8213,283.249201885336,288.922855760456,405.000118460408,412.376059998873,286.086028822896,408.68808922964047,-2.8368269375599766,-3.687970769232493,2.4859095745942104,339.6,160.2,-193.92025735463716,164.33200962579687,254.18512072924665,2.43859800497682
12,407,408,4,76,9,2200784,49.904399,292.095399,326.9947,329.3877,8235,8235,277.846297649112,269.721539509867,406.054793023043,234.944127139925,273.7839185794895,320.499460081484,4.062379069622466,85.55533294155896,-0.0474468400698309,339.6,160.2,73.34486215342434,-156.99746708677097,173.28494878657682,-1.133754067075204
13,411,412,4,80,9,2332648,52.894512,295.085512,329.98485,332.37785,8309,8309,261.975960545103,266.950171885234,406.067919312996,397.41311161134,264.4630662151685,401.740515462168,-2.487105670065489,4.327403850828034,0.521634271786076,339.6,160.2,-55.2149184015733,-246.85763551938916,252.95726798871772,-1.7908455417439906
14,41,42,0,42,21,1228355,27.853855,28.914855,63.8274,66.2204,1656,1656,390.992501803122,388.648796911804,345.083439185998,304.444638457097,389.820649357463,324.7640388215475,1.171852445658999,20.319400364450477,-0.0576077941257939,268.5,160.5,-111.6617383725384,-170.97669605565008,204.2091437974396,-2.149334841772484
15,70,71,0,71,21,2092957,47.459342,48.520342,83.43295,85.82595,2146,2146,219.152535256002,217.045161076165,408.608536832389,400.565166749588,218.09884816608349,404.5868517909885,1.053687089918526,4.021685041400531,-0.2562418102713293,268.5,160.5,110.61856750426048,-223.3432332682744,249.2361677674841,-1.1109277761287082
16,103,104,1,21,21,651711,14.778027,76.159027,111.0307,113.4237,2836,2836,262.898425293124,267.870119883843,394.386426556612,298.820432338199,265.3842725884835,346.60342944740546,-2.48584729535952,47.78299710920652,0.0519768215115126,268.5,160.5,-6.5571902309302486,-186.01397115717864,186.12950923856295,-1.606032799320957
17,107,108,1,25,21,780425,17.696712,79.077712,113.9494,116.3424,2909,2909,260.681184075158,256.062024642288,396.36485937076,403.309001014062,258.371604358723,399.836930192411,2.309579716434996,-3.472070821651016,-2.554614466911577,268.5,160.5,124.12308421462492,204.88584752794023,239.5511439175218,1.0261114708558832
18,169,170,2,4,21,152169,3.450544,125.114544,159.98235,162.37535,4059,4059,256.638349495549,257.777543508839,134.985701588882,140.242980943945,257.207946502194,137.6143412664135,-0.5695970066449831,-2.6286396775315097,2.928202787333648,268.5,160.5,-6.189344882735605,-24.757945346697323,25.519871627175107,-1.8157696125248923
19,177,178,2,12,21,400389,9.079116,130.743116,165.61095,168.00395,4200,4200,254.783726447115,256.918435347888,134.759457709464,141.668595165249,255.8510808975015,138.2140264373565,-1.067354450386517,-3.4545687278925072,2.841927916730831,268.5,160.5,-5.506409316639906,-25.02677023776776,25.62537359915747,-1.7873664450478686
20,224,225,2,59,21,1695912,38.456054,160.120054,194.98795,197.38095,4935,4935,257.401710490956,261.963328027658,131.605094539271,224.237132435811,259.682519259307,177.921113487541,-2.280808768350994,-46.31601894827,3.0923879112747086,268.5,160.5,-9.663664409261628,16.966341737199702,19.52544907955447,2.0885467018245034
21,227,228,2,62,21,1769670,40.128571,161.792571,196.6605,199.0535,4976,4976,257.348949630671,261.473063698033,134.082383062766,140.142450697005,259.411006664352,137.1124168798855,-2.0620570336810147,-3.030033817119488,2.544047323968974,268.5,160.5,5.644156771802942,-24.448565160169004,25.09160903680189,-1.3439128144153265
22,241,242,2,76,21,2186972,49.591202,171.255202,206.12315,208.51615,5213,5213,251.97991631734,250.206337189618,134.167528938234,140.468503689616,251.093126753479,137.318016313925,0.886789563861015,-3.150487375691,-2.867214905084688,268.5,160.5,-23.03686386685896,-17.598480247501602,28.989715483976312,-2.489237741750708
23,270,271,3,22,21,648512,14.705488,196.636488,231.5165,233.9095,5848,5848,241.644451623774,247.370553511497,124.437718727966,131.434517464419,244.5075025676355,127.9361180961925,-2.8630509438615093,-3.498399368226501,2.455739156896681,268.5,160.5,2.056520620391506,-40.39575547783508,40.44806964104886,-1.5199309156897451
24,348,349,4,17,21,470416,10.667029,252.858029,287.7572,290.1502,7254,7254,211.968570751628,235.222786774293,371.888545752491,370.598261920065,223.5956787629605,371.243403836278,-11.627108011332524,0.6451419162129923,1.515367146112279,268.5,160.5,-207.9320079298908,-56.510710529099065,215.47431477152855,-2.8762272136014286
25,43,44,0,44,22,1287138,29.186803,30.247803,65.16035,67.55335,1689,1689,382.785864298632,391.41944021965,332.224045099782,311.947563132074,387.102652259141,322.085804115928,-4.316787960508975,10.138240983854018,0.4025417928907002,269.0,226.5,-146.10901980774082,-41.67777285260503,151.93710020640825,-2.863721185180318
26,58,59,0,59,22,1759881,39.906599,40.967599,75.88015,78.27315,1957,1957,307.950128494348,308.156737947442,420.365119156329,411.882381511138,308.05343322089504,416.1237503337335,-0.1033047265470372,4.241368822595518,0.0243516444972566,269.0,226.5,-43.65904818972749,-188.61660809201305,193.60355713924525,-1.798260218038629
27,86,87,1,4,22,155319,3.521973,64.902973,99.7746,102.1676,2554,2554,226.170982635005,232.538172435187,370.256110467977,361.607837397872,229.354577535096,365.9319739329245,-3.1835949000909807,4.324136535052503,0.6346352826312338,269.0,226.5,-50.7409833230192,-135.7880240988341,144.95873508434204,-1.928407389803735
28,128,129,1,46,22,1338653,30.354943,91.735943,126.60765,129.00065,3225,3225,241.59459703388,247.712991462537,385.238106113963,313.416822354763,244.6537942482085,349.327464234363,-3.059197214328492,35.91064187960001,0.0849839690483953,269.0,226.5,13.832535991835718,-124.45073182905296,125.21710627846454,-1.4601019837396674
29,143,144,1,61,22,1777957,40.316485,101.697485,136.56925,138.96225,3474,3474,236.044993244273,301.775860573582,389.05479510864,235.268988278913,268.9104269089275,312.1618916937765,-32.86543366465449,76.8929034148635,0.4039171805146733,269.0,226.5,-33.584754996770485,-78.80375589844587,85.66193852519882,-1.97366784912184
30,176,177,2,11,22,381538,8.651655,130.315655,165.1835,167.5765,4189,4189,257.914021839945,255.166052950715,134.957468242659,141.369133941252,256.54003739533,138.16330109195547,1.373984444615019,-3.2058328492964847,-2.7366860885666715,269.0,226.5,-46.25117058097513,-76.28533451437328,89.21111501421944,-2.115829290645845
31,228,229,2,63,22,1808148,41.001088,162.665088,197.533,199.926,4998,4998,257.97528403292,261.42310800414,134.411356810732,140.141316529079,259.69919601853,137.2763366699055,-1.7239119856099592,-2.864979859173502,2.59991035401445,269.0,226.5,38.03245004012646,-81.24592172342598,89.70711818325108,-1.1329803470517017
32,306,307,3,58,22,1736183,39.369229,221.300229,256.18035,258.57335,6464,6464,361.682972683015,363.361558564296,73.7912479793872,209.707804718331,362.5222656236554,141.7495263488591,-0.8392929406404619,-67.9582783694719,3.1292431607319,269.0,226.5,94.56173294094148,-83.589087892382,126.21036784462004,-0.7238839847761982
33,342,343,4,11,22,332592,7.541769,249.732769,284.63195,287.02495,7176,7176,247.758141621124,251.111969352038,393.676386421442,385.764046579992,249.435055486581,389.720216500717,-1.67691386545701,3.95616992072496,0.4009157352977945,269.0,226.5,-45.6850645005704,-157.91295390161258,164.38864355044146,-1.852412880138843
34,366,367,4,35,22,999228,22.658231,264.849231,299.74845,302.14145,7554,7554,244.771137541741,215.304760020789,353.079270346014,243.705317029388,230.03794878126504,298.392293687701,14.733188760475995,54.68697665831303,-0.2631613364081575,269.0,226.5,56.32233736316467,-59.28184916818845,81.77128668946075,-0.8109929589944007
35,378,379,4,47,22,1369378,31.051655,273.242655,308.1419,310.5349,7763,7763,301.095186059555,298.817440679275,371.387525709849,235.98310938316,299.956313369415,303.6853175465045,1.1388726901399764,67.7022081633445,-0.0168202089110109,269.0,226.5,-29.65372245234757,-77.69506629702619,83.16168938988768,-1.9354000824371376
36,391,392,4,60,22,1719852,38.998912,281.189912,316.0892,318.4822,7962,7962,259.938929308821,225.10531656234,358.475074898095,236.683078439141,242.5221229355805,297.579076668618,17.41680637324049,60.895998229477016,-0.2785721522268882,269.0,226.5,45.00267653820205,-61.057941484296215,75.85059732066573,-0.9356357059744672
37,45,46,0,46,44,1354161,30.706599,31.767599,66.68015,69.07315,1727,1727,382.188811631965,384.281574275892,351.488468743677,307.761509247043,383.2351929539285,329.62498899536,-1.0463813219635083,21.86347974831699,0.0478232878600659,349.0,395.7,-31.03733141073853,67.63608189979661,74.41744093864025,2.00101621448331
38,124,125,1,42,44,1240228,28.123084,89.504084,124.3758,126.7688,3169,3169,246.266098228962,255.31286475374,383.942173433755,309.854302047184,250.789481491351,346.8982377404695,-4.523383262389018,37.04393569328551,0.1215070754733702,349.0,395.7,103.4016005473917,36.53802060335329,109.66730572679089,0.3396652630725647
39,145,146,1,63,44,1841102,41.748345,103.129345,138.0011,140.3941,3510,3510,202.634787278255,229.135569128891,320.373511081592,320.336188914121,215.885178203573,320.3548499978565,-13.250390925317989,0.0186610837355374,1.5693879855992976,349.0,395.7,75.53254630673996,-133.00857814126203,152.95897296575976,-1.0543314537778108
40,153,154,1,71,44,2063880,46.8,108.181,143.05275,145.44575,3636,3636,204.493255773264,300.752812410176,271.523058724123,235.665513905391,252.62303409172,253.59428631475703,-48.129778318456005,17.92877240936599,1.2142113914988348,349.0,395.7,166.80935826796716,-40.70861596648783,171.7048439027799,-0.2393640366463625
41,156,157,1,74,44,2145877,48.659342,110.040342,144.9121,147.3051,3683,3683,230.716082157469,237.572049661385,263.408056041424,263.966047247305,234.144065909427,263.6870516443645,-3.42798375195801,-0.2789956029404834,1.65200500278974,349.0,395.7,122.26083510185968,-125.18623059091443,174.983725327145,-0.7972199209158471
42,165,166,1,83,44,2404952,54.534059,115.915059,150.78685,153.17985,3829,3829,237.812450234503,243.942578842704,133.904973350938,138.748145155495,240.8775145386035,136.3265592532165,-3.0650643041005026,-2.42158590227848,2.239447077865016,349.0,395.7,136.49151701822663,-245.6320813925539,281.00721276717275,-1.0636068328114214
43,226,227,2,61,44,1746457,39.6022,161.2662,196.1341,198.5271,4963,4963,257.23552809165,261.447666342874,134.191283760638,140.163531233778,259.341597217262,137.17740749720798,-2.106069125612009,-2.986123736569993,2.527328319820977,349.0,395.7,75.73279517082896,-262.93935376723203,273.6285073304979,-1.2903627498298973
44,254,255,3,6,44,212407,4.816485,186.747485,221.6275,224.0205,5601,5601,258.01391173653,261.616013720234,135.190888983625,277.044046959124,259.814962728382,206.11746797137448,-1.80105099185198,-70.92657898774948,3.116204935002924,349.0,395.7,-84.34374636437491,-191.78540031177215,209.51254693579745,-1.9851204561425877
45,300,301,3,52,44,1551351,35.178027,217.109027,251.9891,254.3821,6360,6360,310.459780555057,305.202713436667,105.715693874059,103.811092195734,307.831246995862,104.7633930348965,2.6285335591950343,0.952300839162504,-1.2232117945536536,349.0,395.7,-259.51486184696887,137.80788067752695,293.8349460092908,2.6534371971603967
46,309,310,3,61,44,1831507,41.530771,223.461771,258.34185,260.73485,6518,6518,371.78658798404,386.995721389178,68.5605675036922,87.5647573750382,379.391154686609,78.0626624393652,-7.604566702569002,-9.502094935673,2.4666662371790387,349.0,395.7,222.20045511924505,-229.0066772838609,319.0879196958012,-0.8004814932342581
47,357,358,4,26,44,736518,16.701088,258.892088,293.7913,296.1843,7405,7405,230.975698972335,204.020342214986,376.740627393572,237.011895860048,217.4980205936605,306.87626162681,13.477678378674511,69.86436576676203,-0.1905710317421312,349.0,395.7,112.29633914794609,112.12474883068286,158.68971953587365,0.7846335726659286
48,359,360,4,28,44,786337,17.830771,260.021771,294.92095,297.31395,7433,7433,200.5158540063,237.138479134992,342.500172744121,343.875043896937,218.827166570646,343.18760832052897,-18.311312564346,-0.6874355764079496,1.608320283443458,349.0,395.7,47.59197250311598,-132.05120974904835,140.36565763364098,-1.2248818814798526
49,388,389,4,57,44,1648274,37.375828,279.566828,314.4661,316.8591,7921,7921,261.548771421208,268.917866581944,358.662572028249,302.884487804183,265.233319001576,330.773529916216,-3.684547580367962,27.889042112033,0.1313538235502251,349.0,395.7,91.54890835438805,53.39569965972999,105.98256159874714,0.5280106306316751
50,48,49,0,49,43,1461842,33.148345,34.209345,69.1219,71.5149,1788,1788,392.413489047262,386.996548987145,361.464421401362,284.702152673576,389.7050190172035,323.083287037469,2.7084700300584927,38.38113436389301,-0.070450953965393,274.7,399.1,-120.07075361044218,67.73263006997185,137.85751720082283,2.6279840579684213
51,72,73,0,73,43,2143018,48.594512,49.655512,84.5681,86.9611,2174,2174,216.837002628919,215.7036854937,406.559939851847,397.216197612221,216.27034406130952,401.888068732034,0.566658567609494,4.671871119813034,-0.1207019629969861,274.7,399.1,58.340251489652,4.267678114906191,58.496136798666384,0.0730214565833481
52,118,119,1,36,43,1075265,24.382426,85.763426,120.63515,123.02815,3076,3076,252.321419377007,257.142987245197,394.089003889594,306.520762888588,254.732203311102,350.304883389091,-2.410783934095008,43.78412050050298,0.0550051499712274,274.7,399.1,22.620226839358928,47.62354089541558,52.72263564809118,1.1273643535113136
53,239,240,2,74,43,2137638,48.472517,170.136517,205.00445,207.39745,5185,5185,248.898085678247,248.686261741681,131.587469791585,139.497441621972,248.792173709964,135.5424557067785,0.10591196828301,-3.954985915193504,-3.1148196981969427,274.7,399.1,-32.95391302950907,-262.76954586289423,264.8278584608276,-1.6955549343702137
54,266,267,3,18,43,563172,12.77034,194.70134,229.58135,231.97435,5799,5799,240.156507696946,246.940064763946,124.232974572257,131.400974467511,243.548286230446,127.816974519884,-3.391778533500002,-3.5839999476269924,2.383743069182516,274.7,399.1,163.84343172089322,-218.4496259240252,273.06575981698165,-0.927277017908334
55,299,300,3,51,43,1530076,34.695601,216.626601,251.5067,253.8997,6347,6347,312.961444470809,305.93725651999,107.370558125982,108.652041732477,309.4493504953995,108.0112999292295,3.5120939754095275,-0.6407418032474936,-1.751250407118498,274.7,399.1,-280.1254035539258,-86.42862345596696,293.1555025387433,-2.8423236631536426
56,312,313,3,64,43,1913746,43.395601,225.326601,260.2067,262.5997,6565,6565,375.112823556191,381.618126660824,66.7755257695639,71.9751779688288,378.3654751085075,69.37535186919635,-3.252651552316479,-2.599826099632452,2.2451068636310705,274.7,399.1,322.28478530333643,-124.88951707984609,345.63691109957404,-0.3696955189148636
57,341,342,4,10,43,313498,7.108798,249.299798,284.19895,286.59195,7165,7165,264.269784028185,268.223127419676,400.659056278625,391.627713317222,266.24645572393047,396.1433847979235,-1.9766716957454944,4.515671480701485,0.4126084584706206,274.7,399.1,8.929708902062588,-0.6813833025852922,8.955667718300957,-0.076157628751504
