Chan,MeanRate
A20,"[1.8957346  1.18483412 0.         1.42180095 0.23696682 0.23696682
 1.18483412 2.13270142 2.36966825 2.8436019  2.8436019  2.13270142
 2.36966825 1.8957346  0.23696682 0.9478673  1.18483412 1.18483412
 0.         0.71090047 0.9478673  2.36966825 1.65876777 1.18483412
 1.18483412 0.         0.9478673  0.23696682 2.60663507 0.
 0.47393365 2.13270142 3.31753555 3.31753555 0.9478673  2.36966825
 0.9478673  0.47393365 0.         0.47393365 0.47393365 0.71090047
 0.71090047 0.23696682 0.23696682 1.65876777 0.47393365 0.23696682
 0.71090047 0.47393365]"
A32,"[4.73933649 4.26540284 4.50236967 3.31753555 3.79146919 0.9478673
 3.55450237 4.73933649 3.55450237 2.13270142 2.36966825 4.02843602
 3.31753555 4.73933649 2.13270142 1.18483412 3.55450237 4.02843602
 5.92417062 3.31753555 4.97630332 5.45023697 6.16113744 2.60663507
 4.02843602 6.87203791 3.55450237 1.65876777 5.92417062 5.68720379
 5.92417062 6.39810427 6.87203791 3.79146919 6.16113744 2.8436019
 3.31753555 4.02843602 2.8436019  2.60663507 3.55450237 3.08056872
 1.42180095 1.65876777 2.8436019  3.79146919 1.8957346  2.8436019
 1.8957346  1.65876777]"
A10,"[0.47393365 1.8957346  0.9478673  0.71090047 0.47393365 0.9478673
 1.18483412 1.42180095 1.42180095 1.65876777 0.47393365 1.65876777
 1.42180095 1.8957346  0.9478673  0.23696682 1.42180095 0.71090047
 2.60663507 0.71090047 2.60663507 2.13270142 0.47393365 1.8957346
 1.65876777 2.60663507 2.13270142 0.9478673  3.79146919 1.8957346
 1.18483412 2.60663507 2.36966825 1.18483412 1.42180095 1.42180095
 1.65876777 1.42180095 0.9478673  1.8957346  1.8957346  1.65876777
 0.9478673  2.13270142 2.13270142 0.47393365 2.36966825 0.
 1.42180095 0.23696682]"
A02,"[ 9.47867299  9.24170616  9.24170616  8.29383886  7.58293839  5.92417062
  4.97630332  9.47867299  7.58293839  7.58293839  5.92417062  8.53080569
  8.53080569  7.10900474 11.37440758  9.24170616  8.76777251  9.71563981
  8.05687204  9.00473934 12.32227488 11.37440758  7.58293839 11.13744076
  9.24170616 10.66350711 11.84834123  7.58293839 11.84834123  9.47867299
  8.76777251  9.71563981 11.37440758  7.81990521  8.05687204  6.39810427
 10.66350711 10.18957346  8.29383886  8.05687204 11.61137441 11.61137441
  7.81990521 11.13744076  8.53080569  7.34597156  6.87203791  8.76777251
  7.58293839  7.81990521]"
A07,"[2.8436019  3.79146919 4.97630332 4.50236967 3.31753555 2.60663507
 3.55450237 3.31753555 4.26540284 5.68720379 2.8436019  2.8436019
 3.79146919 4.26540284 3.31753555 3.31753555 3.55450237 4.50236967
 6.16113744 2.8436019  6.39810427 6.39810427 5.92417062 4.50236967
 4.50236967 8.29383886 7.58293839 2.36966825 8.05687204 5.68720379
 6.16113744 5.21327014 6.87203791 3.55450237 8.29383886 5.92417062
 4.50236967 3.79146919 3.08056872 4.02843602 5.45023697 1.65876777
 3.79146919 3.31753555 3.55450237 3.31753555 2.8436019  2.8436019
 4.97630332 3.08056872]"
A13,"[25.82938389 29.14691943 28.43601896 24.17061611 25.11848341 26.77725118
 21.32701422 26.77725118 27.25118483 25.11848341 23.22274882 18.48341232
 31.27962085 29.62085308 27.72511848 25.82938389 25.82938389 25.11848341
 24.40758294 22.03791469 21.09004739 24.88151659 19.90521327 27.96208531
 27.96208531 26.30331754 27.01421801 27.01421801 24.64454976 28.43601896
 21.56398104 24.17061611 26.77725118 30.09478673 28.19905213 21.80094787
 25.82938389 21.80094787 29.14691943 32.46445498 30.56872038 23.22274882
 26.54028436 31.7535545  26.06635071 25.35545024 24.88151659 21.09004739
 21.09004739 28.67298578]"
A16,"[1.18483412 0.9478673  1.18483412 0.23696682 0.23696682 0.
 0.9478673  0.47393365 1.42180095 1.42180095 1.42180095 0.9478673
 1.8957346  1.8957346  1.42180095 0.47393365 3.08056872 2.13270142
 0.23696682 0.47393365 0.9478673  2.8436019  0.23696682 0.23696682
 2.8436019  1.18483412 2.13270142 0.23696682 2.60663507 2.60663507
 1.8957346  1.65876777 4.02843602 2.13270142 2.36966825 1.42180095
 2.36966825 1.65876777 0.71090047 1.18483412 1.8957346  0.23696682
 1.8957346  0.47393365 0.         0.47393365 0.9478673  0.71090047
 1.18483412 0.47393365]"
A04,"[6.16113744 6.87203791 5.45023697 6.39810427 5.45023697 5.68720379
 8.53080569 5.92417062 6.87203791 5.45023697 6.63507109 6.87203791
 5.68720379 6.16113744 4.97630332 6.39810427 7.34597156 8.05687204
 4.97630332 7.58293839 9.00473934 7.58293839 5.92417062 5.92417062
 6.63507109 5.68720379 4.26540284 3.08056872 9.24170616 7.34597156
 5.92417062 7.58293839 9.00473934 5.21327014 7.10900474 5.21327014
 5.92417062 6.39810427 6.63507109 4.26540284 7.58293839 4.26540284
 4.26540284 5.45023697 4.50236967 5.68720379 4.97630332 7.10900474
 4.02843602 4.50236967]"
A24,"[1.42180095 0.23696682 1.18483412 0.47393365 0.71090047 0.
 0.23696682 1.18483412 0.71090047 1.18483412 0.47393365 0.9478673
 1.42180095 0.71090047 0.71090047 0.47393365 0.71090047 0.71090047
 0.71090047 0.9478673  0.23696682 1.8957346  0.71090047 0.
 1.18483412 0.71090047 0.47393365 0.         2.36966825 1.42180095
 1.65876777 0.71090047 3.31753555 0.9478673  0.9478673  0.47393365
 1.8957346  0.9478673  0.23696682 0.71090047 1.18483412 0.
 0.         0.23696682 0.23696682 0.23696682 0.71090047 0.23696682
 0.47393365 0.        ]"
A30,"[3.55450237 2.36966825 1.8957346  0.9478673  1.18483412 0.
 0.9478673  1.65876777 2.13270142 1.65876777 0.47393365 0.9478673
 1.8957346  2.13270142 0.23696682 0.23696682 0.71090047 0.9478673
 1.8957346  0.9478673  0.47393365 2.60663507 2.8436019  0.23696682
 1.18483412 1.18483412 1.8957346  0.47393365 2.60663507 2.13270142
 2.8436019  3.08056872 3.55450237 1.8957346  2.8436019  0.47393365
 0.9478673  1.65876777 0.         0.9478673  0.9478673  0.23696682
 0.         0.23696682 0.47393365 0.71090047 0.47393365 0.47393365
 0.23696682 0.71090047]"
