,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,6,7,0,7,39,218901,4.963741,6.032741,62.3136,64.8996,1622,1622,302.592641357548,496.798261014708,190.104950262295,275.562130730174,399.695451186128,232.8335404962345,-97.10280982858,-42.728590233939485,-4.29785316868791,272.7,338.6,147.95773333904776,73.64032674493738,165.27065250046635,0.4618154659154392
1,16,17,0,17,39,487378,11.051655,12.120655,68.4015,70.9875,1775,1775,303.213283453595,311.076717031746,352.730910319365,197.890700800326,307.1450002426705,275.3108055598455,-3.9317167890754945,77.42010475951952,0.050740592672743556,272.7,338.6,-31.190715146413098,64.9547493510411,72.05539656820478,2.0184718885232082
2,101,102,1,19,39,570344,12.932971,74.862971,131.11925,133.70525,3343,3343,376.002982026788,368.134331142339,173.712228255528,172.078300454812,372.06865658456354,172.89526435517,3.9343254422244627,0.8169639003579903,-1.3660556375358912,272.7,338.6,-182.44674995412055,-63.60324486787238,193.2153961943611,-2.8061543155738757
3,102,103,1,20,39,600584,13.618685,75.548685,131.805,134.391,3360,3360,379.982044002083,370.31296490586,188.39714398917,187.005049255729,375.14750445397146,187.70109662244948,4.834539548111536,0.6960473667205065,-1.4278050514423062,272.7,338.6,-163.9580823876666,-79.89816912265866,182.38961102374728,-2.6881496875716313
4,122,123,1,40,39,1213138,27.508798,89.438798,145.69515,148.28115,3707,3707,237.209589408262,240.971954356984,298.373242937581,301.169096231538,239.09077188262302,299.7711695845595,-1.881182474361026,-1.397926646978533,-4.073311684662037,272.7,338.6,11.119427751627057,-50.13598121661993,51.35424311658113,-1.352543702339407
5,135,136,1,53,39,1569427,35.587914,97.517914,153.77425,156.36025,3909,3909,200.46677674211,191.516346412635,423.107245903614,418.437675170746,195.9915615773725,420.77246053718,4.475215164737506,2.334785366434005,-1.0899282798900527,272.7,338.6,108.33499733829942,30.000435791552995,112.41217814797663,0.2701529852976563
6,136,137,1,54,39,1602575,36.339569,98.269569,154.5259,157.1119,3928,3928,211.556258724319,199.272244431451,430.298569281792,431.645974694074,205.414251577885,430.972271987933,6.142007146433997,-0.6737027061410004,-1.6800472878364836,272.7,338.6,84.4851348466473,76.95628995007908,114.2803945256439,0.7387967783231222
7,154,155,1,72,39,2125087,48.187914,110.117914,166.3743,168.9603,4224,4224,369.991199410862,376.715051772085,244.069224152622,238.554969530138,373.3531255914735,241.31209684138003,-3.3619261806114764,2.7571273112419874,0.883916813736755,272.7,338.6,11.398878295540415,139.52079904421927,139.9856699535133,1.4892771751642715
8,204,205,2,40,39,1200828,27.22966,150.00066,206.2524,208.8384,5221,5221,197.546081221792,210.21757663293,75.0167753427483,67.9465456328398,203.881828927361,71.48166048779404,-6.335747705568991,3.5351148549542586,1.0618598040876792,272.7,338.6,266.7961835813641,70.05672273208476,275.8408018650271,0.25678801364394976
9,205,206,2,41,39,1233976,27.981315,150.752315,207.0041,209.5901,5240,5240,250.64725052956,256.533464801738,78.2476724216233,86.0735623581415,253.59035766564898,82.1606173898824,-2.943107136088969,-3.9129449682590973,-3.7864659889878736,272.7,338.6,138.8730331461329,-216.426930044295,257.1504139285121,-1.0003046520134813
