frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
695,36,284.541785259307,278.966252555258,0.302087424444646,0.174091143782633,2.0482635586636,2.43323375969887,NaN,286.548820176961,0.583541688630174,0.132939039685117,8.95367964803306,41.7919930947962,26,NaN,282.757536366109,NaN,-3.7912838108515,NaN,39.3049116319444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,32,284.53895636245,279.065366221872,0.253796865329651,0.128672920854164,2.01670399446449,2.9291103499362,NaN,288.3174326927,0.575278184815818,0.135007719503157,8.18207890474962,39.5813256559266,15,NaN,283.691399457286,NaN,-4.62603323541401,NaN,39.3449116319444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
708,25,284.508478377831,279.822983764623,0.232380487289157,0.0987631512187949,1.88377974289863,3.34748950866091,NaN,285.333451147282,0.684835644690551,0.150409477522418,7.44371641392961,36.6948504205442,21,NaN,282.578217455953,NaN,-2.75523369132952,NaN,39.8249116319444,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,21,284.377854181026,279.466976954744,0.211120158272137,0.0835723531379614,1.80570531237986,3.54908097236693,NaN,282.443730688056,0.895910675610564,0.162199479745032,7.22318256254943,40.6643343392334,34,NaN,280.9553538214,NaN,-1.48837686665598,NaN,39.8649116319444,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,21,284.379623234636,280.02834032531,0.247936768208313,0.0944174751620392,1.77041203073684,3.63035974929556,NaN,284.989385116094,0.705770039498267,0.142313585788591,7.90490972843433,38.9641079186081,35,NaN,282.508862720702,NaN,-2.48052239539203,NaN,39.9049116319444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,20,284.624918218476,279.37366999786,0.193016339900413,0.0810997761401439,1.8637664816906,3.41009670308242,NaN,308.739429546398,0.528550367862814,0.265093120553291,10.4652509955951,10.1373444380505,13,NaN,294.056549772129,NaN,-14.682879774269,NaN,40.2249116319444,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
719,20,284.420212382538,279.334168014084,0.210281960425938,0.0898220442349636,1.90375196150925,3.32883795320259,NaN,288.613027280853,0.657778879113717,0.142300766384333,8.28938914870592,37.9438084460009,14,NaN,283.973597647469,NaN,-4.63942963338451,NaN,40.2649116319444,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,20,284.431850556797,279.423976150894,0.204303901528973,0.0834914807008108,1.88257546271272,3.46037876162964,NaN,281.463068482043,0.718127065765136,0.150363454923113,8.90325587674999,40.6782069978789,16,NaN,280.443522316468,NaN,-1.01954616557447,NaN,40.3049116319444,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
736,29,284.493902267062,279.240851518783,0.267587633578399,0.118583304941515,1.74596834175599,2.93679261342598,NaN,278.506904489694,0.664454673906574,0.150875441962014,8.49747552170117,36.3962002063227,29,NaN,278.873878004239,NaN,0.366973514544497,NaN,40.9449116319444,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,42,284.340022997834,279.476689427207,0.322924107535961,0.180783778085696,1.82634939330319,2.32473748640701,NaN,275.075847687198,0.671410697791706,0.150990807136663,8.1618849808251,36.028669786505,31,NaN,277.276268557203,NaN,2.20042087000451,NaN,40.9849116319444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
