Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time
1,0,1,29,56845,1.289002,3.100002,58.67445
2,0,2,7,94355,2.139569,3.950569,59.52505
3,0,3,29,124352,2.819773,4.630773,60.20525
4,0,4,10,149746,3.395601,5.206601,60.78105
5,0,5,40,172959,3.921973,5.732973,61.30745
6,0,6,43,191811,4.349456,6.160456,61.7349
7,0,7,7,223262,5.06263,6.87363,62.4481
8,0,8,43,241629,5.479116,7.290116,62.86455
9,0,9,39,275019,6.236259,8.047259,63.62175
10,0,10,44,303321,6.878027,8.689027,64.2635
11,0,11,30,330168,7.486803,9.297803,64.87225
12,0,12,7,359924,8.161542,9.972542,65.547
13,0,13,10,396948,9.001088,10.812088,66.38655
14,0,14,21,433731,9.83517,11.64617,67.22065
15,0,15,40,471482,10.691202,12.502202,68.07665
16,0,16,7,500511,11.349456,13.160456,68.73495
17,0,17,9,536566,12.167029,13.978029,69.5525
18,0,18,30,555175,12.589002,14.400002,69.97445
19,0,19,22,582750,13.214286,15.025286,70.59975
20,0,20,43,617109,13.993401,15.804401,71.37885
21,0,21,29,643472,14.591202,16.402202,71.97665
22,0,22,40,669351,15.178027,16.989027,72.5635
23,0,23,44,693291,15.720884,17.531884,73.10635
24,0,24,30,721835,16.368141,18.179141,73.7536
25,0,25,8,752075,17.053855,18.864855,74.43935
26,0,26,40,779892,17.684626,19.495626,75.0701
27,0,27,43,816189,18.507687,20.318687,75.89315
28,0,28,10,841341,19.078027,20.889027,76.4635
29,0,29,39,875458,19.851655,21.662655,77.23715
30,0,30,21,913694,20.718685,22.529685,78.10415
31,0,31,39,944903,21.426372,23.237372,78.81185
32,0,32,10,965693,21.8978,23.7088,79.28325
33,0,33,30,998841,22.649456,24.460456,80.03495
34,0,34,7,1018419,23.093401,24.904401,80.47885
35,0,35,39,1040663,23.5978,25.4088,80.98325
36,0,36,22,1075265,24.382426,26.193426,81.7679
37,0,37,8,1113985,25.260431,27.071431,82.6459
38,0,38,21,1132110,25.671429,27.482429,83.0569
39,0,39,44,1171800,26.571429,28.382429,83.9569
40,0,40,9,1202767,27.273628,29.084628,84.6591
41,0,41,43,1238095,28.074717,29.885717,85.4602
42,0,42,40,1271001,28.820884,30.631884,86.20635
43,0,43,29,1293972,29.341769,31.152769,86.72725
44,0,44,8,1326392,30.076916,31.887916,87.4624
45,0,45,7,1360025,30.839569,32.650569,88.22505
46,0,46,9,1382753,31.354943,33.165943,88.74045
47,0,47,44,1400393,31.754943,33.565943,89.14045
48,0,48,21,1438872,32.627483,34.438483,90.01295
49,0,49,39,1460388,33.115374,34.926374,90.50085
50,0,50,29,1483844,33.647256,35.458256,91.03275
51,0,51,44,1510934,34.261542,36.072542,91.64705
52,0,52,9,1544808,35.02966,36.84066,92.41515
53,0,53,44,1570445,35.610998,37.421998,92.9965
54,0,54,30,1592446,36.109887,37.920887,93.49535
55,0,55,40,1628259,36.921973,38.732973,94.30745
56,0,56,9,1653168,37.486803,39.297803,94.8723
57,0,57,10,1685347,38.216485,40.027485,95.60195
58,0,58,8,1705168,38.665941,40.476941,96.05145
59,0,59,44,1731288,39.258231,41.069231,96.64375
60,0,60,22,1751352,39.713197,41.524197,97.0987
61,0,61,22,1786922,40.519773,42.330773,97.90525
62,0,62,9,1824916,41.381315,43.192315,98.7668
63,0,63,29,1849098,41.92966,43.74066,99.31515
64,0,64,22,1879823,42.626372,44.437372,100.01185
65,0,65,10,1919028,43.515374,45.326374,100.90085
66,0,66,22,1943695,44.074717,45.885717,101.4602
67,0,67,9,1978539,44.86483,46.67583,102.25035
68,0,68,21,1997875,45.303288,47.114288,102.6888
69,0,69,39,2019635,45.796712,47.607712,103.1822
70,0,70,8,2046967,46.416485,48.227485,103.802
71,0,71,39,2071392,46.97034,48.78134,104.35585
72,0,72,8,2110839,47.86483,49.67583,105.25035
73,0,73,22,2139625,48.517574,50.328574,105.90305
74,0,74,30,2170108,49.208798,51.019798,106.5943
75,0,75,7,2192594,49.718685,51.529685,107.1042
76,0,76,21,2225257,50.459342,52.270342,107.84485
77,0,77,8,2245805,50.925283,52.736283,108.3108
78,0,78,21,2277498,51.643946,53.454946,109.02945
79,0,79,43,2298531,52.120884,53.931884,109.5064
80,0,80,40,2337494,53.004399,54.815399,110.3899
81,0,81,43,2365553,53.640658,55.451658,111.02615
82,0,82,10,2392158,54.243946,56.054946,111.62945
83,0,83,29,2429425,55.089002,56.900002,112.4745
84,1,1,30,44488,1.008798,63.806798,118.95195
85,1,2,8,73516,1.667029,64.465029,119.6102
86,1,3,40,97214,2.204399,65.002399,120.14755
87,1,4,40,121154,2.747256,65.545256,120.6904
88,1,5,22,148244,3.361542,66.159542,121.3047
89,1,6,22,179938,4.080227,66.878227,122.0234
90,1,7,7,198547,4.5022,67.3002,122.44535
91,1,8,21,223698,5.072517,67.870517,123.01565
92,1,9,39,252969,5.736259,68.534259,123.6794
93,1,10,40,272063,6.169229,68.967229,124.1124
94,1,11,7,295034,6.690113,69.488113,124.63325
95,1,12,39,334482,7.584626,70.382626,125.5278
96,1,13,39,359875,8.160431,70.958431,126.1036
97,1,14,21,382604,8.675828,71.473828,126.619
98,1,15,30,404363,9.169229,71.967229,127.1124
99,1,16,30,437268,9.915374,72.713374,127.85855
100,1,17,43,455151,10.320884,73.118884,128.26405
101,1,18,7,493145,11.182426,73.980426,129.1256
102,1,19,22,527746,11.967029,74.765029,129.9102
103,1,20,10,546598,12.394512,75.192512,130.33765
104,1,21,40,570053,12.926372,75.724372,130.86955
105,1,22,39,600293,13.612086,76.410086,131.55525
106,1,23,9,639498,14.501088,77.299088,132.44425
107,1,24,30,678462,15.384626,78.182626,133.3278
108,1,25,21,698282,15.834059,78.632059,133.77725
109,1,26,21,727068,16.486803,79.284803,134.42995
110,1,27,39,747858,16.958231,79.756231,134.9014
111,1,28,44,776402,17.605488,80.403488,135.54865
112,1,29,22,809065,18.346145,81.144145,136.2893
113,1,30,9,840032,19.048345,81.846345,136.9915
114,1,31,22,859368,19.486803,82.284803,137.42995
115,1,32,10,888882,20.156054,82.954054,138.09925
116,1,33,43,919606,20.852744,83.650744,138.7959
117,1,34,8,941123,21.340658,84.138658,139.28385
118,1,35,9,961186,21.795601,84.593601,139.73875
119,1,36,8,981492,22.256054,85.054054,140.19925
120,1,37,10,999858,22.672517,85.470517,140.6157
121,1,38,9,1036398,23.501088,86.299088,141.44425
122,1,39,7,1063004,24.104399,86.902399,142.04755
123,1,40,43,1096152,24.856054,87.654054,142.79925
124,1,41,43,1134388,25.723084,88.521084,143.66625
125,1,42,9,1166324,26.447256,89.245256,144.39045
126,1,43,40,1190748,27.001088,89.799088,144.94425
127,1,44,43,1218081,27.620884,90.418884,145.56405
128,1,45,9,1239355,28.103288,90.901288,146.04645
129,1,46,30,1265234,28.690113,91.488113,146.6333
130,1,47,29,1304924,29.590113,92.388113,147.5333
131,1,48,40,1342191,30.43517,93.23317,148.37835
132,1,49,8,1378488,31.258231,94.056231,149.2014
133,1,50,21,1412363,32.026372,94.824372,149.96955
134,1,51,40,1438484,32.618685,95.416685,150.56185
135,1,52,43,1474297,33.430771,96.228771,151.37395
136,1,53,44,1507929,34.193401,96.991401,152.1366
137,1,54,43,1546650,35.071429,97.869429,153.0146
138,1,55,39,1569136,35.581315,98.379315,153.5245
139,1,56,44,1601557,36.316485,99.114485,154.25965
140,1,57,9,1622589,36.793401,99.591401,154.7366
141,1,58,8,1652587,37.473628,100.271628,155.4168
142,1,59,44,1690096,38.324172,101.122172,156.26735
143,1,60,30,1727121,39.163741,101.961741,157.10695
144,1,61,44,1762449,39.96483,102.76283,157.90805
145,1,62,29,1787116,40.524172,103.322172,158.46735
146,1,63,29,1812025,41.089002,103.887002,159.0322
147,1,64,39,1839600,41.714286,104.512286,159.6575
148,1,65,10,1870082,42.405488,105.203488,160.3487
149,1,66,22,1893295,42.931859,105.729859,160.87505
150,1,67,10,1913843,43.3978,106.1958,161.341
151,1,68,10,1941660,44.028571,106.826571,161.97175
152,1,69,10,1961238,44.472517,107.270517,162.4157
