Chan,MeanRate
A28,"[5.60578662 7.23327306 5.06329114 5.60578662 7.77576854 5.96745027
 6.8716094  5.60578662 5.42495479 5.60578662 5.42495479 3.61663653
 5.42495479 4.15913201 3.25497288 4.33996383 5.78661844 6.32911392
 3.97830018 5.60578662 5.24412297 6.8716094  4.70162749 4.33996383
 5.96745027 8.31826401 5.06329114 4.33996383 3.97830018 4.15913201
 4.52079566 4.70162749 5.24412297 5.42495479 5.24412297 5.24412297
 5.78661844 3.25497288 3.07414105 3.61663653 3.79746835 4.88245931
 4.33996383 3.97830018 4.33996383 7.59493671 4.52079566 5.24412297
 7.95660036 5.96745027]"
A21,"[ 9.40325497 10.84990958  8.31826401 10.3074141  11.39240506 10.84990958
  9.40325497  8.86075949  7.05244123  7.41410488  8.49909584  8.67992767
  8.49909584  7.05244123  6.1482821   6.8716094   8.31826401  9.76491863
  6.69077758  5.96745027  9.22242315  9.5840868   7.77576854  7.05244123
 11.03074141 12.47739602  8.31826401  7.41410488  7.59493671  7.05244123
  9.22242315 10.12658228  9.22242315  8.86075949  6.50994575  6.69077758
  5.42495479  4.15913201  6.32911392  3.61663653  7.23327306  8.13743219
  8.13743219  7.59493671 10.3074141  10.3074141   9.22242315  9.40325497
  7.59493671  9.94575045]"
A05,"[8.13743219 7.41410488 6.32911392 6.1482821  9.76491863 8.49909584
 8.67992767 7.05244123 5.96745027 5.06329114 7.23327306 5.60578662
 7.05244123 4.33996383 3.79746835 6.32911392 5.78661844 6.8716094
 5.78661844 7.59493671 8.86075949 8.13743219 6.8716094  7.41410488
 7.77576854 9.40325497 8.49909584 6.50994575 5.78661844 5.42495479
 5.06329114 5.60578662 5.24412297 7.05244123 4.15913201 6.69077758
 3.07414105 3.4358047  5.06329114 3.4358047  7.95660036 2.89330922
 5.06329114 4.70162749 6.50994575 7.23327306 6.69077758 5.78661844
 7.41410488 5.96745027]"
A22,"[59.67450271 60.57866184 57.86618445 60.39783002 56.60036166 53.34538879
 58.04701627 56.78119349 56.96202532 60.9403255  57.5045208  54.61121157
 58.58951175 51.3562387  50.81374322 52.079566   59.85533454 54.24954792
 51.3562387  56.05786618 51.71790235 53.52622061 51.53707052 53.70705244
 52.26039783 56.96202532 52.98372514 49.54792043 45.38878843 53.52622061
 54.24954792 54.7920434  55.15370705 50.45207957 56.05786618 50.99457505
 55.51537071 54.06871609 53.34538879 51.3562387  51.89873418 52.80289331
 53.52622061 57.14285714 54.06871609 51.71790235 50.99457505 51.53707052
 52.44122966 48.82459313]"
A30,"[17.54068716 17.54068716 16.4556962  22.24231465 18.26401447 13.0198915
 17.54068716 16.99819168 16.99819168 19.52983725 14.64737794 15.37070524
 14.10488246 13.38155515 14.10488246 13.92405063 14.64737794 15.7323689
 16.09403255 11.57323689 14.64737794 15.91320072 15.91320072 14.82820976
 17.35985533 16.81735986 13.56238698 12.65822785 13.92405063 13.0198915
 13.38155515 15.91320072 16.27486438 14.64737794 12.65822785 12.83905967
 14.64737794 14.28571429 15.7323689  15.18987342 14.46654611 14.64737794
 16.09403255  9.5840868  15.00904159 14.82820976 14.46654611 14.82820976
 12.11573237 15.18987342]"
A06,"[5.78661844 6.1482821  4.88245931 5.96745027 6.69077758 3.97830018
 4.52079566 3.61663653 3.97830018 3.4358047  3.79746835 3.61663653
 5.24412297 4.15913201 5.42495479 3.79746835 4.33996383 4.15913201
 4.52079566 6.8716094  3.97830018 6.32911392 6.32911392 4.33996383
 8.86075949 5.96745027 5.60578662 2.16998192 2.16998192 2.16998192
 3.4358047  2.89330922 2.35081374 4.15913201 2.89330922 2.7124774
 2.53164557 4.33996383 3.25497288 1.98915009 5.96745027 2.7124774
 2.35081374 4.88245931 3.07414105 4.88245931 4.15913201 4.88245931
 4.15913201 3.4358047 ]"
A08,"[6.69077758 6.69077758 4.15913201 5.60578662 6.8716094  5.24412297
 5.96745027 4.88245931 4.52079566 4.52079566 4.33996383 4.33996383
 4.70162749 4.52079566 5.60578662 3.61663653 5.60578662 3.97830018
 5.42495479 5.06329114 5.78661844 6.8716094  6.32911392 3.61663653
 7.05244123 8.49909584 5.42495479 3.25497288 3.61663653 3.25497288
 4.33996383 3.07414105 5.06329114 4.52079566 3.61663653 4.52079566
 2.89330922 3.07414105 1.98915009 2.35081374 5.42495479 3.07414105
 4.52079566 4.15913201 4.52079566 5.06329114 3.97830018 6.50994575
 4.15913201 5.96745027]"
A12,"[47.37793852 41.04882459 44.12296564 46.47377939 41.22965642 46.83544304
 43.94213382 43.94213382 41.41048825 43.76130199 45.56962025 47.920434
 44.66546112 49.36708861 49.00542495 43.94213382 49.18625678 45.38878843
 49.54792043 43.94213382 49.72875226 43.39963834 41.59132007 46.83544304
 50.27124774 42.31464738 46.65461121 42.67631103 47.37793852 42.13381555
 44.66546112 46.65461121 51.71790235 46.47377939 50.09041591 46.11211573
 38.3363472  42.67631103 43.94213382 44.84629295 41.59132007 47.19710669
 48.6437613  42.31464738 47.19710669 47.19710669 42.85714286 50.27124774
 49.72875226 43.58047016]"
A10,"[6.69077758 9.5840868  5.78661844 4.88245931 5.78661844 7.23327306
 7.95660036 3.97830018 5.42495479 3.25497288 5.06329114 4.70162749
 4.15913201 5.24412297 4.33996383 3.61663653 4.52079566 6.8716094
 4.15913201 4.70162749 5.96745027 5.42495479 5.60578662 5.60578662
 4.88245931 6.50994575 7.23327306 3.25497288 5.06329114 5.96745027
 4.88245931 4.52079566 6.1482821  5.78661844 3.79746835 5.24412297
 2.53164557 4.33996383 4.33996383 2.89330922 4.33996383 4.52079566
 7.23327306 4.52079566 5.96745027 6.69077758 5.60578662 6.32911392
 4.33996383 5.06329114]"
A09,"[11.03074141 10.12658228  9.40325497 10.66907776 12.11573237  8.49909584
 11.57323689  9.40325497  9.76491863  9.04159132  8.67992767  7.23327306
 10.12658228  9.22242315  7.95660036  7.95660036  7.41410488  9.5840868
  7.77576854  8.49909584 10.3074141   9.76491863 10.66907776  7.59493671
 12.11573237 11.21157324 11.21157324  9.22242315  6.69077758  9.94575045
  9.40325497  6.8716094  11.39240506 11.21157324  7.59493671  6.69077758
  6.69077758  7.41410488  7.41410488  6.50994575  8.86075949  8.13743219
  8.13743219 10.12658228  9.04159132  8.67992767 10.12658228 10.3074141
  7.05244123 10.12658228]"
A15,"[5.96745027 7.95660036 7.95660036 6.32911392 7.95660036 9.40325497
 9.40325497 6.32911392 6.50994575 5.06329114 5.78661844 6.8716094
 5.06329114 6.1482821  4.52079566 6.1482821  5.96745027 6.8716094
 6.1482821  6.32911392 7.41410488 7.23327306 4.88245931 5.78661844
 8.13743219 9.5840868  6.1482821  4.88245931 6.1482821  4.70162749
 7.05244123 7.95660036 5.60578662 5.96745027 5.96745027 6.32911392
 4.52079566 3.4358047  5.78661844 5.24412297 7.23327306 5.78661844
 5.60578662 5.24412297 7.77576854 7.41410488 6.32911392 7.77576854
 7.41410488 6.1482821 ]"
A11,"[8.13743219 5.60578662 6.8716094  6.69077758 7.23327306 7.77576854
 9.04159132 8.67992767 6.8716094  4.52079566 7.23327306 6.32911392
 6.32911392 5.60578662 4.52079566 6.1482821  7.23327306 8.67992767
 7.23327306 4.52079566 8.31826401 7.59493671 5.78661844 4.33996383
 8.67992767 7.41410488 6.1482821  5.42495479 4.88245931 7.23327306
 5.96745027 5.42495479 7.23327306 8.13743219 5.78661844 7.41410488
 3.61663653 3.97830018 4.70162749 3.79746835 5.78661844 5.06329114
 6.69077758 7.05244123 5.96745027 5.96745027 6.1482821  7.23327306
 6.8716094  6.50994575]"
A20,"[ 9.22242315  9.5840868  13.20072333 10.12658228 12.65822785 11.93490054
 11.75406872  5.96745027 10.48824593  8.13743219  9.94575045 10.12658228
  9.5840868   9.22242315  9.04159132  8.86075949  8.49909584  9.5840868
  9.22242315  8.86075949 12.47739602 10.84990958 12.11573237  9.94575045
 12.65822785 13.74321881 12.47739602  6.69077758  7.77576854 10.3074141
 10.66907776  6.1482821  10.84990958  9.5840868   8.13743219  8.86075949
  8.13743219  9.5840868  10.12658228  8.13743219  9.94575045  8.67992767
  9.04159132  7.59493671  9.5840868  11.75406872 10.48824593 11.03074141
  8.49909584 10.3074141 ]"
