frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
1180,19,302.423878932794,140.982111702708,0.16671636520083,0.125279286983166,2.85864316431991,2.84079390103253,NaN,293.920919414716,0.0476305652354228,0.0448554906717493,75.7879674571561,36.4732358859814,14,NaN,217.451515558712,NaN,-76.469403856004,NaN,53.4319747944079,0,0,3,0,2,0,1,0,2,4,1,6,2,4,2,0,1,4,1,0,3,2,1,1,2,2,0,1,1,1,1,1,0,1,1,0,0,0,0,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,32,302.481718419364,141.270773611726,0.196554445967449,0.204548757445317,2.73460951433252,1.75550897009728,312.388800195112,291.379338770948,0.155729856613788,0.0514349492862748,2.41687908715944,22.3124534524401,16,307.435259307238,216.325056191337,-4.953540887874,-75.054282579611,3.0756887899157,53.4719747944079,6,4,9,4,1,0,7,2,2,1,6,2,0,4,3,1,4,1,0,1,5,2,3,2,3,3,2,3,4,2,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1182,35,302.534059210409,141.222152837602,0.199250657734254,0.21466894100597,2.81633781065408,1.78343086681241,NaN,294.126708994722,0.0289637848925567,0.0597766511307632,98.6781357201698,17.2207683075421,10,NaN,217.674430916162,NaN,-76.45227807856,NaN,53.5119747944079,0,0,2,0,1,0,1,1,2,0,0,1,1,3,1,5,0,3,1,2,2,1,1,1,0,3,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,13,303.225373120681,138.480759252533,0.112550030493677,0.0630537857144995,2.33879753239077,3.18572295073599,312.711534289389,297.438020549347,0.202338564004986,0.0777223559454216,2.18616107874711,17.5734340595299,26,307.968453705035,217.95938990094,-4.743080584354,-79.478630648407,3.08198591547155,53.9919747944079,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,1,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,13,303.181645044396,138.302976631209,0.107224299624598,0.0571794350992124,2.29103650174405,3.12291042470722,312.626963881906,142.563962249263,0.217376580207112,0.0872983729114224,2.13075272869341,3.99610285677119,22,307.904304463151,140.433469440236,-4.72265941875497,-2.130492809027,1.99458243277686,54.0319747944079,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,2,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,2,2,4,0,1,0,1,0,0,0,3,0,0,0,0,2,0,0,1,1,1,0
1196,13,303.037294331841,138.004950290393,0.103722642272006,0.066912956526493,2.36636978539814,2.47750927695169,312.673850404043,142.524219821737,0.219989439676902,0.0865935749290595,2.14945002092755,4.12442741027584,23,307.855572367942,140.264585056065,-4.81827803610099,-2.25963476567202,2.00931441613578,54.0719747944079,1,1,2,1,2,0,4,0,3,2,3,5,2,2,1,2,5,3,0,0,3,0,5,1,2,2,1,3,5,1,6,3,0,2,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
1212,13,302.852731066943,139.172222943485,0.0843906810048924,0.0406446088101596,2.30547766739848,3.86381600508783,312.65497834968,296.8956277963,0.215970793195526,0.0525198928187342,2.11573065414888,17.6376494021066,22,307.753854708312,218.033925369893,-4.90112364136849,-78.8617024264075,3.07952414613036,54.7119747944079,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,15,302.952115730989,138.722226766223,0.136519941923516,0.0812307196978368,2.2680876911963,3.09469440551981,312.775950479653,289.685128626491,0.19182471557059,0.0380085813929034,2.2303850814824,35.153116546446,29,307.864033105321,214.203677696357,-4.91191737433201,-75.481450930134,3.07660978170587,54.7519747944079,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1214,14,302.791090059771,139.154019102582,0.144642745470554,0.0584286499188537,2.0126112782913,3.9423386822532,312.640719181221,250.020872719862,0.222089784522493,0.0189389271208831,2.11354540486991,110.858857917945,22,307.715904620496,194.587445911222,-4.924814560725,-55.43342680864,3.05298332801881,54.7919747944079,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,8,301.845746360522,138.749391925025,0.0325787806598759,0.0236832516611271,1.58700069034692,1.60664115148725,312.714479693572,288.931002545298,0.212064223508752,0.0426057742132243,2.11045178155376,34.5954015162751,21,307.280113027047,213.840197235161,-5.43436666652502,-75.0908053101365,3.06934800469869,55.4319747944079,2,1,3,2,2,1,3,1,3,2,2,3,4,2,4,2,4,2,0,0,4,1,4,2,1,1,1,1,2,1,3,1,0,1,0,1,0,0,0,1,0,5,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
