frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
921,22,296.850332349056,153.863411071035,0.150062761907409,0.153626417177944,3.26541510183853,2.42513457219118,NaN,234.506602137855,0.266706030204011,0.460229289296824,16.5826295578607,2.02654144513081,33,NaN,194.185006604445,NaN,-40.32159553341,NaN,40.3173114503817,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,24,296.75205131108,154.549189444799,0.139004052647432,0.156627261051095,3.0701414748915,1.87444488195134,NaN,234.433335544445,0.387766433755124,0.521780420531618,13.3684525540518,2.30561883634402,32,NaN,194.491262494622,NaN,-39.942073049823,NaN,40.3573114503817,0,0,0,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,22,296.732479621246,154.675244897888,0.14086086455445,0.171469463121744,3.14237549635256,1.82731537087825,NaN,234.592541890943,0.33335474624748,0.524877667035516,13.6896906206752,2.08320559233048,29,NaN,194.633893394416,NaN,-39.9586484965275,NaN,40.3973114503817,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,14,296.926321892086,153.410306963042,0.147197844204887,0.0568032220063729,2.24188855409574,4.47021344111609,NaN,234.587974766818,0.377066598865544,0.55407235952224,13.4698813618148,1.87658758449064,30,NaN,193.99914086493,NaN,-40.588833901888,NaN,40.8373114503817,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
935,21,296.495069454014,154.511611941347,0.129237506263937,0.143577337569835,3.01660852561863,1.79618549288714,NaN,234.572388983866,0.249780485480632,0.504043790720049,16.1359658884759,2.07746244601067,29,NaN,194.542000462606,NaN,-40.0303885212595,NaN,40.8773114503817,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0
936,20,296.749886433126,154.482568234623,0.138825986320595,0.143026471489678,3.08397630494302,2.13568834129716,NaN,234.49487407773,0.408885886683705,0.532635238536636,12.0856025567438,2.13411685971238,31,NaN,194.488721156176,NaN,-40.0061529215535,NaN,40.9173114503817,2,0,1,0,1,3,0,2,2,1,1,1,6,1,5,3,0,2,1,0,3,0,2,0,1,1,2,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,22,296.830514552849,153.902826319135,0.156460022964041,0.154762194194322,3.32478801058911,2.51581407102952,NaN,234.480795026286,0.284189286228049,0.515489504575299,17.4887914134858,1.9530569865003,30,NaN,194.19181067271,NaN,-40.2889843535755,NaN,41.5173114503817,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
952,24,296.755441316799,154.000981298924,0.157650984189563,0.155006242026316,3.15270990977525,2.40077688254006,NaN,234.701373191052,0.283489427638958,0.553570460322307,15.4039712427203,1.81580087394489,29,NaN,194.351177244988,NaN,-40.350195946064,NaN,41.5573114503817,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
953,25,296.808548226134,153.891629016486,0.148221409522231,0.159600316929917,3.45111635964546,2.40432333195129,NaN,234.573850278455,0.340641635402613,0.572060180620107,9.07126021036917,1.9714065645848,31,NaN,194.232739647471,NaN,-40.3411106309845,NaN,41.5973114503817,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,20,296.672408422683,154.344823384227,0.130902455720728,0.12740200934956,3.43353544597783,2.59340698828477,NaN,234.573110005658,0.341857236612942,0.512845156185756,9.11145092335154,1.91544207597106,16,NaN,194.458966694942,NaN,-40.1141433107155,NaN,41.9973114503817,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
