frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak
921,22,296.850332349056,153.863411071035,0.150062761907409,0.153626417177944,3.26541510183853,2.42513457219118,621.944274952073,234.506602137855,0.266706030204011,0.460229289296824,16.5826295578607,2.02654144513081,33
922,24,296.75205131108,154.549189444799,0.139004052647432,0.156627261051095,3.0701414748915,1.87444488195134,622.293144738944,234.433335544445,0.387766433755124,0.521780420531618,13.3684525540518,2.30561883634402,32
923,22,296.732479621246,154.675244897888,0.14086086455445,0.171469463121744,3.14237549635256,1.82731537087825,623.132572809876,234.592541890943,0.33335474624748,0.524877667035516,13.6896906206752,2.08320559233048,29
934,14,296.926321892086,153.410306963042,0.147197844204887,0.0568032220063729,2.24188855409574,4.47021344111609,622.356342622005,234.587974766818,0.377066598865544,0.55407235952224,13.4698813618148,1.87658758449064,30
935,21,296.495069454014,154.511611941347,0.129237506263937,0.143577337569835,3.01660852561863,1.79618549288714,621.329900195673,234.572388983866,0.249780485480632,0.504043790720049,16.1359658884759,2.07746244601067,29
936,20,296.749886433126,154.482568234623,0.138825986320595,0.143026471489678,3.08397630494302,2.13568834129716,623.241009937242,234.49487407773,0.408885886683705,0.532635238536636,12.0856025567438,2.13411685971238,31
951,22,296.830514552849,153.902826319135,0.156460022964041,0.154762194194322,3.32478801058911,2.51581407102952,620.136808715802,234.480795026286,0.284189286228049,0.515489504575299,17.4887914134858,1.9530569865003,30
952,24,296.755441316799,154.000981298924,0.157650984189563,0.155006242026316,3.15270990977525,2.40077688254006,620.981879323236,234.701373191052,0.283489427638958,0.553570460322307,15.4039712427203,1.81580087394489,29
953,25,296.808548226134,153.891629016486,0.148221409522231,0.159600316929917,3.45111635964546,2.40432333195129,624.839295362059,234.573850278455,0.340641635402613,0.572060180620107,9.07126021036917,1.9714065645848,31
963,20,296.672408422683,154.344823384227,0.130902455720728,0.12740200934956,3.43353544597783,2.59340698828477,624.733042412943,234.573110005658,0.341857236612942,0.512845156185756,9.11145092335154,1.91544207597106,16
964,21,296.722733828787,154.306264306557,0.170167703961173,0.155082164039526,3.46151962421072,2.85731975675542,623.018863098631,234.533157906484,0.368506139719961,0.565514134361648,10.9577741819487,1.95984098653519,14
965,20,296.761997157648,154.331715976713,0.131825235243492,0.12921581386867,3.38910798797468,2.51680510084635,625.226715822803,234.635796995923,0.371774025571235,0.512882441406226,7.53199684093908,1.72092041587951,16
977,24,296.831993810073,153.989667092088,0.169367032656645,0.131511129953108,3.00979865118885,2.81696311995947,623.082261139342,232.892251555517,0.32726148649954,0.309007261411522,12.356081518724,5.82807171824638,12
978,22,296.758307964357,154.377773364436,0.168533759658194,0.166162882667997,3.35787201993174,2.52048853238802,625.495646742466,234.599572175878,0.437626217554535,0.572120111385976,7.54619080845656,2.027359280549,13
979,20,296.89834520714,154.555930498074,0.163212965535061,0.152454639114052,3.02362229967586,2.32630579647108,621.335508375651,234.37243975973,0.274796398911044,0.567058394005638,17.7623367890524,2.2959112574474,14
990,22,296.122308623142,154.213724359766,0.161014619723946,0.115145937039781,2.28679084103293,2.64953242393536,616.058832539699,234.67677790981,0.28780373517961,0.568591296444811,16.987879574343,1.94014240892561,18
991,22,295.900713473463,154.305376972708,0.166830389229199,0.120054682180763,2.08022491070475,2.50453749164314,618.225103788282,234.541699280525,0.389561431410202,0.514334009040998,14.9913571039072,2.049575050116,20
992,20,296.3403017611,153.913102187077,0.15086869130493,0.0975140289139135,1.93318905393705,2.631120430354,617.64071836156,234.681725416504,0.332527577151639,0.454572373623181,17.0033944993233,2.00642317687101,15
1002,18,299.3134080153,154.70492917347,0.121458955283037,0.132890490383606,3.43651980976332,2.37068314148814,622.927117370956,234.619913899832,0.470741535559915,0.460200634090906,11.0227888968608,1.90679339166531,17
1003,18,299.153543221368,154.693934412811,0.119272290547354,0.139323940633962,3.60514465732414,2.24802035502288,623.571105126234,234.584277433572,0.484232358251373,0.539141407099533,9.68364738686292,1.89680778918883,22
1004,18,298.936185449562,154.653335254524,0.113267724401546,0.140571046346263,3.95942849038908,2.28874105216758,624.672266794241,234.615772754683,0.355047493492546,0.427530583356179,15.4340482035026,1.87697457887394,20
1015,20,296.116486831232,154.088942166941,0.171368352641154,0.0950548188246382,1.88617743293064,2.67821783808527,625.309867657028,234.552613669341,0.355928803810487,0.465315134971638,14.4555897855292,1.81939239180883,18
1016,21,296.171353739491,154.360892423753,0.153006353959402,0.114310600122639,2.33586316907389,2.45908062586527,623.708453400729,234.467147539928,0.409738655426726,0.46911033777051,14.6667996024933,1.93335438679967,22
1017,21,295.923595824981,154.320430639013,0.17685436044865,0.109944073058915,1.87237564113664,2.62292281150057,624.531283130867,234.455764054442,0.381565420176421,0.554782518889094,13.2885919875052,1.98621172781119,26
1032,23,296.631917264165,153.892011551958,0.159677240690621,0.167829763432772,3.27629509169413,2.37364930835128,624.845494305948,234.448762480169,0.367916287324816,0.454607027153585,14.2605115988698,1.9038010584997,31
1033,27,296.800044388809,153.971039374087,0.165087436441033,0.165756473874582,3.21438100450372,2.42297731013856,623.165451662346,234.396433302632,0.346075757661921,0.464546875136469,16.0281546026218,1.83551902371304,34
1034,22,297.025597987248,154.529098880374,0.124915529442477,0.132151812730245,3.11134022842328,2.08770953832179,620.768602126696,234.552324127813,0.31865359737714,0.495088848407537,16.7384643480179,1.81251964936435,31
