frame,blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,frame_T,spike_1_Chan1,spike_1_Chan2,spike_1_Chan3,spike_1_Chan4,spike_1_Chan5,spike_1_Chan6,spike_1_Chan7,spike_1_Chan8,spike_1_Chan9,spike_1_Chan10,spike_1_Chan11,spike_1_Chan12,spike_1_Chan13,spike_1_Chan14,spike_1_Chan15,spike_1_Chan16,spike_1_Chan17,spike_1_Chan18,spike_1_Chan19,spike_1_Chan20,spike_1_Chan21,spike_1_Chan22,spike_1_Chan23,spike_1_Chan24,spike_1_Chan25,spike_1_Chan26,spike_1_Chan27,spike_1_Chan28,spike_1_Chan29,spike_1_Chan30,spike_1_Chan31,spike_1_Chan32,spike_2_Chan1,spike_2_Chan2,spike_2_Chan3,spike_2_Chan4,spike_2_Chan5,spike_2_Chan6,spike_2_Chan7,spike_2_Chan8,spike_2_Chan9,spike_2_Chan10,spike_2_Chan11,spike_2_Chan12,spike_2_Chan13,spike_2_Chan14,spike_2_Chan15,spike_2_Chan16,spike_2_Chan17,spike_2_Chan18,spike_2_Chan19,spike_2_Chan20,spike_2_Chan21,spike_2_Chan22,spike_2_Chan23,spike_2_Chan24,spike_2_Chan25,spike_2_Chan26,spike_2_Chan27,spike_2_Chan28,spike_2_Chan29,spike_2_Chan30,spike_2_Chan31,spike_2_Chan32
718,38,287.768032695421,133.65988248225,0.284509609857903,0.168944706432242,2.25296776677484,2.93611827123171,295.944679761389,287.495156373019,0.229250976906711,0.106875095828834,2.28134298954289,8.64681668968691,26,291.856356228405,210.577519427634,-4.08832353298402,-76.9176369453845,3.08849065785619,33.7471083997722,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,36,287.834911159361,133.797056467215,0.280098133256657,0.165206514747624,2.2370011346867,2.97086674438381,295.905393452208,129.642704258372,0.254091433701733,0.155611478561267,2.42057744452104,3.04607350908598,26,291.870152305784,131.719880362794,-4.03524114642346,2.07717610442148,1.09541146886366,33.7871083997722,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,36,277.942394839867,157.216509601798,0.216282430921347,0.232842578193515,3.10737531025858,1.75862959059277,272.187627547933,149.377887082044,0.218555122751959,0.132553465684496,2.02858202265834,2.43009648772852,20,275.0650111939,153.297198341921,2.87738364596703,3.91931125987702,-0.633283226324404,34.3471083997722,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,21,278.4437369977,157.520787919302,0.26179854791192,0.112538067135801,2.03812201099952,4.13696740472905,272.49945053378,153.832136562904,0.255830382361077,0.145524894728957,2.50525846106144,3.31225805307864,22,275.47159376574,155.676462241103,2.97214323195999,1.844325678199,-1.01541259660267,34.3871083997722,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,34,281.358117528227,161.547383352624,0.334366121100559,0.17490657893158,2.66374998419358,4.00847262574392,272.695031229346,160.429100346761,0.371622794253627,0.250070054885033,2.54695158597189,2.60044831193667,48,277.026574378787,160.988241849692,4.33154314944051,0.55914150293151,-1.44242025491892,34.4271083997722,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,30,304.608573436593,194.818054060507,0.164637159602889,0.164106402973585,3.17690622140885,2.36685207022618,298.45818991101,198.066565978587,0.418338033438843,0.164426220269505,1.74579823007446,3.50325279675796,34,301.533381673802,196.442310019547,3.07519176279152,-1.62425595904,-2.05673325892873,35.1071083997722,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
753,27,307.563571515407,195.695006912588,0.314072322797667,0.129626814497721,2.16834094617984,4.01552445449647,298.12445650592,199.891182048711,0.33220411676573,0.168766952300545,2.53796521900368,3.8712374252172,31,302.844014010663,197.79309448065,4.71955750474348,-2.09808756806149,-1.98911026203208,35.1471083997722,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,29,306.695867130597,198.273594284318,0.229224191521995,0.124430246747118,1.33371186998295,2.34975413795155,298.588029910354,202.899641246115,0.335882758376249,0.23845263830335,2.92273581102098,3.14647370496648,38,302.641948520475,200.586617765216,4.05391861012151,-2.31302348089849,-2.08929108891154,35.1871083997722,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,36,313.335244480948,222.113722300528,0.23923010342173,0.195555905790282,2.65426523860693,2.34837014684847,304.718858726169,225.043590721993,0.31149856997021,0.194849792717194,2.53305406624157,3.1182920609729,39,309.027051603559,223.578656511261,4.3081928773895,-1.46493421073251,-1.8985657582643,35.6271083997722,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,25,313.805019229341,224.594569354419,0.205634910940451,0.132307325880175,2.71202297198967,3.1352435154632,304.610973305491,227.402085037564,0.421088919299347,0.229113791247641,2.1315208885174,3.02555023701553,44,309.207996267416,225.998327195992,4.59702296192501,-1.40375784157251,-1.86716544018855,35.6671083997722,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,48,314.511630092222,225.973280759715,0.48507595522951,0.182718210502989,1.73034178379355,3.72482717019149,306.210182042512,230.726529178445,0.493240667408315,0.380896411011243,2.0611208123857,2.12101821393229,56,310.360906067367,228.34990496908,4.15072402485504,-2.37662420936499,-2.09081049081371,35.7071083997722,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,35,313.833513625005,247.526654083693,0.288624765946177,0.149119345842848,2.33892510595467,3.3542505365794,304.685923832326,248.286215667756,0.270537396640027,0.223081103692031,3.14602577529655,2.83920513271991,36,309.259718728666,247.906434875724,4.57379489633951,-0.379780792031511,-1.65364034893929,36.1071083997722,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,28,313.117131384481,249.12201613287,0.233487543499824,0.176565923818391,3.02009732751755,2.95526232174649,302.931688957028,249.696315280385,0.260392858707307,0.149001455554147,2.97306362157844,4.30813666650899,31,308.024410170754,249.409165706628,5.09272121372652,-0.287149573757517,-1.62712099877306,36.1471083997722,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,40,312.456564015935,250.334431322339,0.222763123557767,0.244960128009189,3.71179495463152,2.47293432148892,302.607425869988,250.862146897046,0.323819612096656,0.259754629057555,2.85794594994458,3.11780809646297,48,307.531994942961,250.598289109692,4.9245690729735,-0.263857787353487,-1.62432501588703,36.1871083997722,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,22,308.681095199946,257.887651230033,0.0925867262617108,0.130677945849462,3.35781040471731,1.74529848360769,298.95267500185,254.643924627296,0.22157430915885,0.217938402398376,3.17780916747799,2.32798937644185,37,303.816885100898,256.265787928665,4.86421009904797,1.62186330136848,-1.24896067538022,36.6671083997722,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,25,308.576380581548,257.908641686786,0.130246187855319,0.14927648238651,3.44394461216183,2.2763178567298,299.613110043457,257.352165545415,0.271699813277577,0.233514854956971,3.07889485964919,2.2068115641946,43,304.094745312502,257.6304036161,4.48163526904551,0.278238070685518,-1.50879185845333,36.7071083997722,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,27,309.604274196283,257.770236069994,0.179373311627318,0.141920784171148,2.97974925319693,2.59742188632214,299.491107596027,258.902114282797,0.376883562966759,0.204280236797146,2.55067772803941,3.28072017940303,48,304.547690896155,258.336175176395,5.05658330012795,-0.565939106401515,-1.68225373241884,36.7471083997722,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,21,311.678221631962,266.022044186451,0.11420022464173,0.146399970394707,3.46825475846721,2.04175532345348,300.288223001857,268.174998693817,0.200973114734925,0.113579631137198,3.17945230358631,4.05679379764772,19,305.98322231691,267.098521440134,5.69499931505248,-1.07647725368298,-1.75761368712519,37.3471083997722,0,0,1,0,0,0,0,0,0,0,0,2,1,3,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
809,28,310.600394413155,265.471496513165,0.190651313372942,0.140235132435287,2.26337316049266,2.19417905312052,300.245775115369,268.467859884051,0.160581615390623,0.128923958203173,3.68921895268768,3.0407401457418,23,305.423084764262,266.969678198608,5.17730964889302,-1.498181685443,-1.85247672846773,37.3871083997722,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,17,311.096954119787,266.109817775587,0.0719797019509899,0.102539601171208,4.01895226922891,1.94741204677049,300.354812168525,267.652250171185,0.206920854958945,0.0980385355962503,2.90514967943827,4.06831684793671,16,305.725883144156,266.881033973386,5.37107097563097,-0.771216197799049,-1.71340861008717,37.4271083997722,1,0,1,0,0,0,0,0,1,0,0,2,1,4,0,1,0,2,1,0,3,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,13,307.997368851663,265.782555275761,0.0864643065762481,0.0653641936377925,1.51199859940592,1.87916969872089,300.450095852511,265.800671709125,0.0825116588525352,0.091378429533792,3.38567862679212,2.19532622792644,11,304.223732352087,265.791613492443,3.77363649957596,-0.00905821668203544,-1.57319671678625,37.9871083997722,1,0,1,0,0,0,2,0,0,0,0,1,1,1,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,13,307.818536559054,265.784278692639,0.0890020588223334,0.0719864850117575,1.50260680842103,1.89726651711247,300.269844644551,264.975473980113,0.059420517526198,0.0553378934174975,2.62800657674891,1.98765216914954,9,304.044190601802,265.379876336376,3.77434595725151,0.404402356263006,-1.46405852024019,38.0271083997722,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,12,309.432692963053,266.0501029094,0.0345523204738033,0.07810143329699,4.44930630069904,1.44406991515161,300.468863718004,264.800077304867,0.0649938151390748,0.0618542773366839,2.70096585503402,2.0354342985348,9,304.950778340528,265.425090107133,4.48191462252453,0.625012802266497,-1.43223770658709,38.0671083997722,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,11,307.717254801101,265.843135445978,0.0880067203656131,0.0605094451443005,1.25672754207629,1.9750665945263,301.031280583044,265.198520168055,0.0244242947082138,0.0385631287172863,3.07181094110305,1.29094629035384,6,304.374267692073,265.520827807017,3.34298710902846,0.32230763896149,-1.47468034021882,38.3871083997722,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,10,307.677478345147,265.708585245519,0.0802399664991018,0.0608411955391491,1.46855784054978,2.0568008254813,300.936287606834,264.894345349161,0.0504039579982331,0.0380713898654858,1.71487183042641,1.67383871883566,8,304.306882975991,265.30146529734,3.37059536915649,0.407119948179002,-1.45059285997783,38.4271083997722,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,16,307.669159416158,266.182062965058,0.112184929158075,0.0712190516270474,1.14865346104501,1.73382778722789,300.930421511679,265.119774702633,0.0110699329817906,0.0274403087861052,2.91180671081982,0.662917886927225,4,304.299790463918,265.650918833845,3.36936895223948,0.5311441312125,-1.41444392403142,38.4671083997722,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,12,307.620413717914,265.617534854723,0.0867489335753473,0.0636393674975536,1.17504955069948,1.8289152478277,300.720386482182,265.369169897181,0.0163648161933397,0.0137744257337976,1.48876934038957,1.39969580510919,5,304.170400100048,265.493352375952,3.45001361786598,0.12418247877099,-1.53481708065253,39.1071083997722,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,16,307.662777465764,266.047225474791,0.107671684999719,0.0817247916875264,1.2784560955512,1.67507881753437,301.128259773379,265.304349077027,0.0223120425788459,0.013814287167679,1.40142073420662,1.81064066414461,3,304.395518619571,265.675787275909,3.26725884619253,0.371438198882004,-1.45759736632845,39.1471083997722,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
