blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak
0,320.5,240.5,-0,-0,319.5,239.5,638.439423640545,256.849019715633,0.764570389765687,0.0708072316889845,5.32828504843823,42.787932465227,9
1,431.000014469421,240.5,0.0145793823006649,4.17984752940969e-05,0.473871641867582,239.5,638.429241954174,251.359546132772,0.883168262912978,0.0766320953338803,5.0803896603512,45.9597270407618,10
2,431.0001721777,161,0.0187490033646209,0.000308562530698119,0.435762174410471,16.4099108104,639.013669684758,254.691850320435,0.809054796919335,0.0709455574976211,5.60146662834976,46.9464513177548,10
1,320.5,240.5,3.38414500038933e-05,3.63643952154974e-05,319.5,239.5,638.978554826983,259.188757180464,0.844042239422552,0.0743802637062135,5.90292265324193,46.9740777361159,10
1,320.5,240.5,5.30736215819795e-06,9.77799833560582e-06,319.5,239.5,639.192139589932,260.234407545289,0.949241128877263,0.0739623079494124,5.65822516592297,48.5896464753068,9
1,320.5,240.5,5.29327234390057e-06,9.77799833560582e-06,319.5,239.5,639.564054834472,264.074999749639,1.14636535033065,0.0884891995074599,6.11660626616753,47.3625391435731,10
2,592,162.748099204065,0.0125015926240371,0.00480703910306489,0.3735340100149,1.2318483659491,639.258005990491,262.548392458021,0.955556079068237,0.0952299400403581,6.93268486809958,43.2998132705135,10
2,573.865540797538,335.014681116731,0.011935190496656,0.013345869549062,1.91257871690369,1.16657818618934,638.024342341318,259.981910385969,0.744849418823538,0.0779173285649788,5.76007083229977,48.32857380974,10
2,209.674311066518,187.420632334823,0.060959838388846,0.0048737231925025,0.564919222649246,5.20754044086853,638.059775119728,265.914543662043,0.728345122781099,0.0788042558251106,6.62761501283641,43.4329411110101,10
1,320.5,240.5,5.29327234390057e-06,9.77799833560582e-06,319.5,239.5,640.963248897835,267.927077620292,0.778764757893906,0.0852053601716451,8.60110970913565,33.9505216663233,10
3,209.581670424864,200.963238200173,0.126475397002846,0.00836083463624264,0.578121413488788,7.27065814581165,642.568044492555,264.503825474188,0.865956137520607,0.0863303225169008,9.88673669192646,39.3047675688473,11
1,320.5,240.5,3.86759428615923e-05,4.21569346271865e-05,319.5,239.5,639.51273577849,257.252763566155,0.768882640640782,0.0628377921213924,6.53793316596203,52.7212513835568,9
2,320.5,240.5,1.7420102410429e-05,2.79905507517195e-05,319.5,239.5,638.784797157606,247.079594435532,0.646853582090939,0.0546211439282502,5.18853965645992,54.7078352437764,10
2,431.248800217487,207.002094323239,0.0253657915443187,0.00468811347706569,0.560200621687701,0.953162493904557,638.959959933281,252.099085536137,0.622923371496588,0.068604887153558,4.62153328553187,32.3011126962869,10
2,320.5,240.5,5.29327234390057e-06,9.76453149436821e-06,319.5,239.5,638.05650912788,250.651406726039,0.664842788744905,0.0662395961638735,4.43026796018377,39.3368614798853,10
1,320.5,240.5,5.30736215819795e-06,9.77799833560582e-06,319.5,239.5,638.258082968803,244.148190255612,0.613119445667525,0.0452718067957081,3.77313621532854,51.7031193115019,10
2,320.5,163.372566589089,7.93990851585085e-06,0.00375444473027983,319.5,0.748481024191501,638.553891692782,253.147560762358,0.543722404252313,0.0488446235188969,4.24093538255417,47.8445586990521,10
2,431.000278668605,162.987964401608,0.0208319745004255,0.00458827381427525,0.440126214516199,1.00131566081375,638.219048644248,240.180243769454,0.463760362390511,0.0405459536773257,3.7149603753137,46.6431512880849,10
2,209.500505444834,161,0.026753424341923,0.000386273104783095,0.641846147349312,18.6105330300517,638.347909380462,237.524213051856,0.485664193956031,0.0388494686388302,3.36680240613889,51.6908637305857,10
1,431.000196736881,240.5,0.014582153078611,4.66942078825187e-05,0.444717656414851,239.5,638.174230466537,241.744911710246,0.556175396754011,0.0453112112564528,2.90719333853143,49.1099335896845,10
1,320.5,240.5,5.29327234390057e-06,9.77799833560582e-06,319.5,239.5,638.397557268967,243.062904042538,0.690204768299755,0.0539169805746692,3.04840450697698,45.3393539530742,10
0,320.5,240.5,-0,-0,319.5,239.5,661.047880908895,253.370463590042,1.62807606927099,0.0599147470785305,19.8530877066173,46.7200470604246,9
2,209,161.463962683786,5.30490091905678e-05,0.0068610586316968,268.817818724623,1.04683517834927,0,245.154342917022,0,0.0421907177081233,0,54.4150723550015,10
1,606.982073547577,255.286256487548,0.0061773062801486,0.00696615624216133,0.990849283564198,0.695792807550328,638.678588051192,236.567291872604,0.431093542323252,0.0337648868563678,2.95916119599994,55.3888179828864,10
2,320.5,161.649346021415,1.32331808597514e-05,0.00378556647539688,319.5,1.17968427180602,638.326974550071,240.427490310407,0.39597297871163,0.0373106700083915,3.42428288467575,57.5055884358329,9
2,606.00177079093,253.999418684516,0.0150430624743347,0.0112329311941632,1.52607177055602,1.53906693832949,0,244.863706509008,0,0.0208113341866072,0,78.7511130161968,10
1,320.5,240.5,2.20679661589481e-05,4.89025887698727e-05,319.5,239.5,594.215174239192,226.584699101479,0.134452868007187,0.0227789880718896,7.39422676787626,62.5985238062253,10
0,320.5,240.5,-0,-0,319.5,239.5,594.812369893749,228.892730782625,0.147887518967889,0.0201378751347994,5.59256713464877,64.9425980275916,8
3,1333.09362302187,313.182859621038,1.42912596451949e+52,0.00368803604157361,62.2687276627098,7.51758071673222,8245.1461486289,233.523708156348,1.10691794993814e+306,0.0320337614303874,286.194958056177,51.1791640880739,10
2,320.5,312.333940315691,5.04264716440172e-05,0.00310150684124797,319.5,7.52534090802913,19596.8583202212,242.334698121498,3.31117461090741e+127,0.0278968683554662,1102.34465915521,61.9882086712294,8
1,320.5,240.5,5.29327234390057e-06,9.77799833560582e-06,319.5,239.5,703.347519693972,251.933944111652,0.194239276911997,0.0301971859387302,81.4753777989351,53.4475611858342,7
0,320.5,240.5,-0,-0,319.5,239.5,675.070528619163,257.06989821323,0.114487565687932,0.0410846175148755,66.0817507597936,22.5290503889723,8
2,431,253.996689746506,0.000145469261912536,0.0115349575609997,162.677584599538,1.45937326709415,597.510438782064,245.516617115026,0.155527931692152,0.0224401523404222,3.28790585041927,57.5398400262841,8
0,320.5,240.5,-0,-0,319.5,239.5,648.862935625022,256.929050915666,0.0499294638707688,0.0196980261492726,66.2725843436665,49.2774634266929,5
0,320.5,240.5,-0,-0,319.5,239.5,10132.4120242549,249.405825430728,3.53063436851661e+80,0.0548259663891981,693.262856765542,14.4925717745713,5
2,209.610447777649,200.393457702977,0.0934877674330998,0.00563438574711096,0.56660062678388,6.88829386453454,638.386531984501,248.310505579643,0.0982242068989432,0.0911110366467097,42.6414990272176,11.18803472166,7
0,320.5,240.5,-0,-0,319.5,239.5,33442.6651383311,245.657316692375,3.69680002699187e+269,0.0442067533486548,1314.58342773044,31.677262444447,8
1,776.630214663489,314.339390007261,961672447941.688,0.00226691110899079,24.2794464381989,7.8600242258238,633.14521424186,244.525062745579,0.0861157468374199,0.098876046225363,39.3658482477358,8.82715807376925,8
1,431,190.21307511244,0.000115982220754583,0.00266793352054441,170.667014834493,7.63680324170654,20573.3174393137,245.682669543638,1.76069304775595e+162,0.0745450265724691,1028.51293098929,10.0822717044742,6
0,320.5,240.5,-0,-0,319.5,239.5,0,258.551707574362,0,0.027164503164038,0,52.5087521033573,6
1,320.5,240.5,2.01705886576069e-06,4.88226574718411e-06,319.5,239.5,0,252.215324451503,0,0.0257008681392072,0,55.8962804185327,7
1,590.744265061188,254.669536766791,0.00725167337511442,0.00335393102532487,0.663576690269059,0.884895418785341,11612.4904586281,258.735731776618,6.82478040484131e+82,0.0310129005780314,790.168203105174,45.9650031002452,6
1,320.5,240.5,6.76093829606515e-05,7.27287904309947e-05,319.5,239.5,638.441196561217,247.503959205228,0.274292783878857,0.0314519942406639,5.19717791541501,53.2748350586204,7
1,320.5,240.5,3.37679329567582e-05,3.45453363651509e-05,319.5,239.5,638.80048695448,248.894917125017,0.400968805762562,0.0354310212394338,3.88355375878055,56.8861357072352,9
1,320.5,240.5,2.01705886576069e-06,4.88226574718411e-06,319.5,239.5,638.350147537054,276.740596213278,0.316429252084602,0.0445761852184004,3.58238394834249,19.0082926713378,9
1,431,188.170879079201,0.00010944002265935,0.00560702712552997,220.91999439939,3.63245741058202,639.111912665587,276.224340936138,0.261462996888412,0.038740770754451,3.86745587508049,23.7650205529518,9
1,431.00000355824,240.5,0.0166653483283145,4.70392003743706e-05,0.444162438297631,239.5,639.399771556911,276.368042319113,0.278465671438196,0.0420576530814635,4.69164648299682,19.5710171732077,11
2,210,186.979044596074,0.000109405713574812,0.00581981554135495,281.442419610552,3.08024623458086,639.881828316758,206.702177514042,0.291122809324724,0.0656216410898271,5.11449351738649,2.20220075039458,9
2,639.43207983495,319.573261384239,0.0559190280820749,0.00300102229731192,0.600972839405517,1.08311135405668,645.370281853107,279.910978592817,0.493347722601238,0.0556001384837361,9.26336335341205,10.2804015868189,11
2,209.379814423237,186.369392868208,0.0264275017020507,0.0055179389796806,0.645656149895676,2.25382050286366,639.900581706723,278.716255859975,0.283045399333395,0.0400354288161106,4.96714561316398,18.9127096871225,11
