Global_Idx,Block,Local_Idx,x,y,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time
679,8,15,222.5,172.5,25,439982,9.976916,554.146916,587.27445
680,8,16,222.5,37.5,47,478703,10.854943,555.024943,588.24535
681,8,17,62.5,127.5,6,497555,11.282426,555.452426,588.67285
682,8,18,247.5,127.5,12,524160,11.885714,556.055714,589.369
683,8,19,247.5,127.5,12,549796,12.467029,556.637029,590.0432
684,8,20,247.5,82.5,11,575190,13.042857,557.212857,590.61905
685,8,21,87.5,172.5,27,603976,13.695601,557.865601,591.2718
686,8,22,87.5,37.5,45,641728,14.551655,558.721655,592.3136
687,8,23,62.5,82.5,5,666152,15.105488,559.275488,593.1461
688,8,24,62.5,127.5,6,700754,15.890113,560.060113,594.0236
689,8,25,177.5,197.5,29,737294,16.718685,560.888685,595.0379
690,8,26,222.5,37.5,47,772865,17.525283,561.695283,595.8445
691,8,27,132.5,12.5,44,802862,18.205488,562.375488,596.6176
692,8,28,177.5,197.5,29,823895,18.682426,562.852426,597.1874
693,8,29,132.5,197.5,30,846865,19.203288,563.373288,597.7083
694,8,30,222.5,37.5,47,865475,19.625283,563.795283,598.31605
695,8,31,62.5,82.5,5,885780,20.085714,564.255714,598.7765
696,8,32,247.5,127.5,12,912628,20.694512,564.864512,599.47815
697,8,33,132.5,12.5,44,947472,21.484626,565.654626,600.36115
698,8,34,222.5,172.5,25,973835,22.082426,566.252426,601.05185
699,8,35,62.5,82.5,5,1011102,22.927483,567.097483,602.08265
700,8,36,87.5,37.5,45,1036980,23.514286,567.684286,602.66945
701,8,37,177.5,197.5,29,1066735,24.189002,568.359002,603.3442
702,8,38,87.5,37.5,45,1093825,24.803288,568.973288,604.05135
703,8,39,132.5,197.5,30,1116069,25.307687,569.477687,604.55575
704,8,40,62.5,127.5,6,1140978,25.872517,570.042517,605.3992
705,8,41,132.5,12.5,44,1173157,26.6022,570.7722,606.40755
706,8,42,177.5,12.5,43,1206789,27.36483,571.53483,607.35595
707,8,43,87.5,37.5,45,1238725,28.089002,572.259002,608.173
708,8,44,222.5,172.5,25,1266300,28.714286,572.884286,608.89115
709,8,45,247.5,127.5,12,1302355,29.531859,573.701859,609.70875
710,8,46,222.5,172.5,25,1337684,30.332971,574.502971,610.6956
711,8,47,87.5,172.5,27,1357747,30.787914,574.957914,611.24345
712,8,48,62.5,82.5,5,1378295,31.253855,575.423855,611.80225
713,8,49,62.5,127.5,6,1414592,32.076916,576.246916,612.7182
714,8,50,222.5,172.5,25,1448467,32.845057,577.015057,613.48635
715,8,51,247.5,82.5,11,1477738,33.508798,577.678798,614.24295
716,8,52,87.5,37.5,45,1510401,34.249456,578.419456,615.0765
717,8,53,247.5,82.5,11,1532402,34.748345,578.918345,615.85405
718,8,54,132.5,197.5,30,1571608,35.63737,579.80737,617.0217
719,8,55,62.5,82.5,5,1601121,36.306599,580.476599,617.69095
720,8,56,177.5,12.5,43,1632815,37.025283,581.195283,618.5025
721,8,57,247.5,127.5,12,1651182,37.441769,581.611769,619.0119
722,8,58,247.5,82.5,11,1684087,38.187914,582.357914,619.758
723,8,59,132.5,12.5,44,1719900,39,583.17,620.84875
724,8,60,87.5,172.5,27,1753048,39.751655,583.921655,621.6933
725,8,61,132.5,12.5,44,1783530,40.442857,584.612857,622.6631
726,8,62,132.5,12.5,44,1803108,40.886803,585.056803,623.19995
727,8,63,62.5,127.5,6,1827048,41.42966,585.59966,623.8357
728,8,64,222.5,37.5,47,1861408,42.208798,586.378798,624.8935
729,8,65,222.5,37.5,47,1899886,43.081315,587.251315,625.95175
730,8,66,87.5,172.5,27,1928915,43.739569,587.909569,626.7958
731,8,67,132.5,197.5,30,1968362,44.634059,588.804059,627.876
732,8,68,222.5,37.5,47,1996422,45.27034,589.44034,628.6052
733,8,69,132.5,12.5,44,2020604,45.818685,589.988685,629.2464
734,8,70,177.5,12.5,43,2059567,46.7022,590.8722,630.2228
735,8,71,132.5,197.5,30,2082295,47.217574,591.387574,630.92395
736,8,72,177.5,12.5,43,2103812,47.705488,591.875488,631.50475
737,8,73,87.5,172.5,27,2124602,48.176916,592.346916,632.06905
738,8,74,177.5,197.5,29,2155569,48.879116,593.049116,632.86415
739,8,75,87.5,37.5,45,2173694,49.290113,593.460113,633.27515
740,8,76,62.5,127.5,6,2193515,49.739569,593.909569,633.8175
741,8,77,87.5,172.5,27,2227632,50.513197,594.683197,634.77685
742,8,78,222.5,172.5,25,2256175,51.160431,595.330431,635.517
743,8,79,247.5,82.5,11,2283992,51.791202,595.961202,636.14775
744,8,80,132.5,197.5,30,2322228,52.658231,596.828231,637.0148
745,8,81,247.5,127.5,12,2357315,53.453855,597.623855,637.9962
746,8,82,222.5,37.5,47,2387555,54.139569,598.309569,638.77475
747,8,83,62.5,82.5,5,2418279,54.836259,599.006259,639.56435
748,9,1,62.5,82.5,5,58978,1.33737,615.53237,647.7377
749,9,2,132.5,197.5,30,94548,2.143946,616.338946,648.54425
750,9,3,222.5,37.5,47,134238,3.043946,617.238946,649.53715
751,9,4,177.5,197.5,29,163994,3.718685,617.913685,650.30475
752,9,5,132.5,12.5,44,189145,4.289002,618.484002,650.96795
753,9,6,177.5,197.5,29,227139,5.150544,619.345544,652.01525
754,9,7,87.5,172.5,27,245506,5.567029,619.762029,652.5246
755,9,8,132.5,197.5,30,284227,6.445057,620.640057,653.40265
756,9,9,87.5,37.5,45,312044,7.075828,621.270828,654.03345
757,9,10,222.5,172.5,25,332834,7.547256,621.742256,654.59775
758,9,11,177.5,197.5,29,364043,8.254943,622.449943,655.3983
759,9,12,177.5,197.5,29,386529,8.76483,622.95983,656.0011
760,9,13,132.5,12.5,44,413135,9.368141,623.563141,656.6044
761,9,14,132.5,12.5,44,433198,9.823084,624.018084,657.1522
762,9,15,247.5,82.5,11,457865,10.382426,624.577426,657.80445
763,9,16,247.5,127.5,12,489316,11.095601,625.290601,658.5176
764,9,17,247.5,127.5,12,519798,11.786803,625.981803,659.3017
765,9,18,177.5,12.5,43,555127,12.587914,626.782914,660.2886
766,9,19,222.5,37.5,47,589971,13.378027,627.573027,661.35735
767,9,20,87.5,172.5,27,618272,14.019773,628.214773,662.09195
768,9,21,222.5,37.5,47,652147,14.787914,628.982914,662.8601
769,9,22,132.5,12.5,44,680933,15.440658,629.635658,663.6057
770,9,23,247.5,82.5,11,703177,15.945057,630.140057,664.203
771,9,24,177.5,12.5,43,740686,16.795601,630.990601,665.2393
772,9,25,62.5,127.5,6,766807,17.387914,631.582914,665.9245
773,9,26,62.5,127.5,6,799228,18.123084,632.318084,666.84545
774,9,27,222.5,172.5,25,818322,18.556054,632.751054,667.2784
775,9,28,247.5,127.5,12,857769,19.450544,633.645544,668.1729
776,9,29,62.5,127.5,6,893825,20.268141,634.463141,668.9905
777,9,30,177.5,12.5,43,915342,20.756054,634.951054,669.5713
778,9,31,222.5,172.5,25,939039,21.293401,635.488401,670.10865
779,9,32,247.5,82.5,11,968068,21.951655,636.146655,670.95265
780,9,33,62.5,127.5,6,1005819,22.807687,637.002687,671.99445
781,9,34,222.5,172.5,25,1036059,23.493401,637.688401,672.86595
782,9,35,132.5,12.5,44,1062422,24.091202,638.286202,673.5566
783,9,36,222.5,172.5,25,1095570,24.842857,639.037857,674.40115
784,9,37,87.5,37.5,45,1123629,25.479116,639.674116,675.1303
785,9,38,87.5,37.5,45,1160169,26.307687,640.502687,676.14465
786,9,39,177.5,197.5,29,1184109,26.850544,641.045544,676.7804
787,9,40,132.5,197.5,30,1214834,27.547256,641.742256,677.66285
788,9,41,247.5,127.5,12,1248951,28.320884,642.515884,678.52935
789,9,42,247.5,82.5,11,1269498,28.786803,642.981803,679.08815
790,9,43,222.5,37.5,47,1287623,29.1978,643.3928,679.49915
791,9,44,87.5,172.5,27,1322709,29.993401,644.188401,680.38765
792,9,45,177.5,197.5,29,1361672,30.876916,645.071916,681.27115
793,9,46,87.5,37.5,45,1397485,31.689002,645.884002,682.1761
794,9,47,132.5,197.5,30,1422395,32.253855,646.448855,682.83385
795,9,48,62.5,82.5,5,1442215,32.703288,646.898288,683.2833
796,9,49,87.5,172.5,27,1476817,33.487914,647.682914,684.1608
797,9,50,247.5,82.5,11,1508511,34.206599,648.401599,684.97235
798,9,51,247.5,82.5,11,1532935,34.760431,648.955431,685.6191
799,9,52,87.5,37.5,45,1555906,35.281315,649.476315,686.13995
800,9,53,177.5,197.5,29,1580088,35.82966,650.02466,686.6883
801,9,54,62.5,127.5,6,1601121,36.306599,650.501599,687.351
802,9,55,247.5,127.5,12,1628695,36.931859,651.126859,687.9763
803,9,56,132.5,12.5,44,1665478,37.765941,651.960941,689.089
804,9,57,62.5,82.5,5,1704683,38.654943,652.849943,690.0709
805,9,58,177.5,12.5,43,1738315,39.417574,653.612574,691.0193
806,9,59,62.5,127.5,6,1760317,39.916485,654.111485,691.5182
807,9,60,222.5,37.5,47,1798795,40.789002,654.984002,692.66935
808,9,61,87.5,37.5,45,1831701,41.53517,655.73017,693.4155
809,9,62,177.5,12.5,43,1850552,41.96263,656.15763,693.93585
810,9,63,62.5,82.5,5,1874008,42.494512,656.689512,694.46775
811,9,64,62.5,127.5,6,1899402,43.07034,657.26534,695.0436
812,9,65,132.5,12.5,44,1919707,43.530771,657.725771,695.504
813,9,66,87.5,37.5,45,1949220,44.2,658.395,696.359
814,9,67,87.5,172.5,27,1967829,44.621973,658.816973,696.87385
815,9,68,62.5,82.5,5,2001219,45.379116,659.574116,697.7239
816,9,69,177.5,12.5,43,2019102,45.784626,659.979626,698.1294
817,9,70,62.5,82.5,5,2056126,46.624172,660.819172,699.1547
818,9,71,132.5,197.5,30,2085397,47.287914,661.482914,699.81845
819,9,72,222.5,37.5,47,2115395,47.968141,662.163141,700.59155
820,9,73,87.5,172.5,27,2153631,48.83517,663.03017,701.4586
821,9,74,222.5,37.5,47,2180478,49.443946,663.638946,702.16025
822,9,75,247.5,127.5,12,2203207,49.959342,664.154342,702.7685
823,9,76,222.5,172.5,25,2235870,50.7,664.895,703.60205
824,9,77,132.5,197.5,30,2264414,51.347256,665.542256,704.3422
825,9,78,62.5,82.5,5,2291504,51.961542,666.156542,705.0494
826,9,79,132.5,197.5,30,2325863,52.740658,666.935658,705.92135
827,9,80,247.5,127.5,12,2347138,53.223084,667.418084,706.4967
828,9,81,247.5,82.5,11,2379316,53.952744,668.147744,707.3192
829,9,82,177.5,12.5,43,2405195,54.539569,668.734569,707.90605
