matlab_chan,Grid_x,Grid_y,Grid_x_cm,Grid_y_cm,2021_05_31_PixLoc_Corrected_x,2021_05_31_PixLoc_Corrected_y
7,27,10,132.5,47.5,345.8,339
8,27,17,132.5,82.5,344.6,277.3
9,27,33,132.5,162.5,339.6,160.2
10,27,26,132.5,127.5,344.2,223.5
21,36,33,177.5,162.5,268.5,160.5
22,36,26,177.5,127.5,269,226.5
29,36,40,177.5,197.5,267,101
30,27,40,132.5,197.5,336.1,102.1
39,36,10,177.5,47.5,272.7,338.6
40,36,17,177.5,82.5,270.8,282.1
43,36,3,177.5,12.5,274.7,399.1
44,27,3,132.5,12.5,349,395.7
