scorer,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000
bodyparts,red_LED,red_LED,red_LED,blue_LED,blue_LED,blue_LED
coords,x,y,likelihood,x,y,likelihood
0,251.31951904296875,-4.232905387878418,6.972364644752815e-06,5.385378837585449,-0.12750864028930664,5.118946774018696e-06
1,139.9288330078125,-2.876777172088623,6.105293778091436e-06,5.3052077293396,-0.19120073318481445,4.893741788691841e-06
2,251.18560791015625,-4.307435989379883,6.1990613176021725e-06,5.376837253570557,-0.1867237091064453,5.193785000301432e-06
3,179.92376708984375,482.5588684082031,3.465203917585313e-05,189.48342895507812,483.724365234375,1.134147805714747e-05
4,155.73373413085938,-2.762789249420166,8.343936315213796e-06,5.328845024108887,-0.17133092880249023,5.177480034035398e-06
5,251.1913604736328,-4.283514022827148,6.256153483263915e-06,5.280972003936768,-0.22819948196411133,5.47112722415477e-06
6,388.0104064941406,-4.00982666015625,6.233171916392166e-06,5.355916976928711,-0.17188453674316406,5.140050234331284e-06
7,379.2034606933594,-5.320241928100586,6.365603894664673e-06,5.322373867034912,-0.21852684020996094,4.323764642322203e-06
8,251.26611328125,-4.398148536682129,6.828800906077959e-06,5.311379432678223,-0.16920709609985352,5.628565304505173e-06
9,267.4534606933594,-4.117974281311035,6.725424555042991e-06,5.370896339416504,-0.12952852249145508,5.101217539049685e-06
10,379.1107177734375,-5.241759300231934,6.813617801526561e-06,5.296909332275391,-0.24108076095581055,5.349982984625967e-06
11,388.0116882324219,-3.994741439819336,6.936669706192333e-06,5.339437484741211,-0.13248205184936523,5.5677992349956185e-06
12,251.13172912597656,-4.328606605529785,6.838283297838643e-06,5.267747402191162,-0.2370619773864746,5.098644578538369e-06
13,251.2007293701172,-4.4686689376831055,6.656827736151172e-06,5.367845058441162,-0.13355064392089844,5.053310815128498e-06
14,139.78684997558594,-2.773922920227051,5.136967956786975e-06,5.404815673828125,-0.1540684700012207,4.889440788247157e-06
15,251.12315368652344,-4.3996734619140625,6.613350251427619e-06,5.332529544830322,-0.14017105102539062,5.740536835219245e-06
16,251.14883422851562,-4.363036155700684,7.2306193033000454e-06,5.280616760253906,-0.22039794921875,5.250383765087463e-06
17,267.3114318847656,-4.327235221862793,5.549055003939429e-06,5.320353984832764,-0.22087764739990234,5.018056072003674e-06
18,139.88182067871094,-2.715167999267578,5.497267466125777e-06,5.2903642654418945,-0.20804595947265625,4.767407517647371e-06
19,267.31597900390625,-4.306817054748535,7.5151128839934245e-06,5.379022121429443,-0.17576122283935547,4.876355433225399e-06
20,363.0358581542969,-5.071493148803711,7.44304588806699e-06,5.361794471740723,-0.1424732208251953,4.94401956530055e-06
21,251.12503051757812,-4.266627311706543,5.699819666915573e-06,5.2984724044799805,-0.21776437759399414,4.952901235810714e-06
22,251.20626831054688,-4.379953384399414,7.1242579906538595e-06,106.86791229248047,-1.3231453895568848,5.254240932117682e-06
23,251.0724334716797,-4.53497314453125,7.385193839581916e-06,5.332817077636719,-0.16136837005615234,5.8269069995731115e-06
24,388.03668212890625,-4.112087249755859,6.353395292535424e-06,5.408973693847656,-0.18628549575805664,4.914872988592833e-06
25,267.39349365234375,-4.255175590515137,6.354249308060389e-06,5.284663677215576,-0.20040416717529297,5.424007213150617e-06
26,267.2856750488281,-4.388406753540039,8.20957120595267e-06,5.295804023742676,-0.17089462280273438,5.377328307076823e-06
27,251.2384490966797,-4.173308372497559,5.986024916637689e-06,5.298870086669922,-0.2199106216430664,5.096369477541884e-06
28,155.64109802246094,-2.8078904151916504,6.19032380200224e-06,5.4328203201293945,-0.12946557998657227,4.982748578186147e-06
29,251.13931274414062,-4.578494071960449,8.066254849836696e-06,5.47866153717041,-0.09520578384399414,5.413020971900551e-06
30,251.232666015625,-4.3572187423706055,6.841949016234139e-06,5.383039474487305,-0.15401792526245117,4.526726570475148e-06
31,395.29046630859375,-4.98598575592041,5.822751518280711e-06,5.354166030883789,-0.1825566291809082,5.04917716170894e-06
32,395.328857421875,-4.945268630981445,5.5351597438857425e-06,5.3488688468933105,-0.18221330642700195,5.041998065280495e-06
33,140.03347778320312,-2.8364315032958984,6.891863904456841e-06,5.3726301193237305,-0.18151426315307617,5.398941084422404e-06
34,395.2580261230469,-5.07572078704834,7.160365385061596e-06,5.325491428375244,-0.17665863037109375,5.143193448020611e-06
35,251.16751098632812,-4.240291595458984,6.172903340484481e-06,5.449388027191162,-0.11494064331054688,5.074709861219162e-06
36,388.0743408203125,-4.127309799194336,6.597003903152654e-06,5.306075572967529,-0.17992782592773438,4.482248186832294e-06
37,109.43758392333984,-1.4503703117370605,5.3997960094420705e-06,5.3658366203308105,-0.15411758422851562,4.906574304186506e-06
38,251.06198120117188,-4.500457763671875,7.463495421689004e-06,5.3068695068359375,-0.19681119918823242,5.0686203394434415e-06
39,139.91055297851562,-2.7918152809143066,5.853004950040486e-06,5.359352111816406,-0.14486312866210938,4.992313733964693e-06
40,388.0057678222656,-3.8733901977539062,6.455206857935991e-06,5.3084001541137695,-0.2594728469848633,4.896724931313656e-06
41,379.2185363769531,-4.990843772888184,7.304167411348317e-06,5.31494665145874,-0.19720935821533203,5.210459221416386e-06
42,267.3432312011719,-4.1843366622924805,5.757566214015242e-06,5.457680702209473,-0.14586544036865234,5.836328000441426e-06
43,251.1429901123047,-4.3626508712768555,5.237815912551014e-06,5.292383670806885,-0.22027873992919922,5.441124812932685e-06
44,411.4635314941406,-4.6110382080078125,6.801522886235034e-06,5.332790851593018,-0.18187665939331055,4.7352496039820835e-06
45,251.23834228515625,-4.274143218994141,5.899276402487885e-06,5.326202392578125,-0.17983531951904297,4.904964953311719e-06
46,251.13006591796875,-4.447635650634766,7.133925919333706e-06,5.293142318725586,-0.2163691520690918,5.602196324616671e-06
47,411.6150207519531,-4.480401992797852,5.498200607689796e-06,5.315685272216797,-0.22256946563720703,4.607406026480021e-06
48,267.4231872558594,-4.244767189025879,5.984192739560967e-06,5.336000919342041,-0.21221065521240234,4.7035555326147005e-06
49,411.5600280761719,-4.57750129699707,5.715942734241253e-06,5.34181022644043,-0.2054753303527832,4.38637880506576e-06
50,379.1759033203125,-4.939667701721191,6.684131221845746e-06,5.3748016357421875,-0.15857744216918945,4.618839739123359e-06
51,139.90206909179688,-2.718454360961914,5.557009444601135e-06,5.276927471160889,-0.26005029678344727,5.230921942711575e-06
52,139.74945068359375,-2.719853401184082,5.810298716824036e-06,5.367073059082031,-0.14571189880371094,5.420108209364116e-06
53,388.03466796875,-4.105620384216309,6.944221695448505e-06,5.250802040100098,-0.24954795837402344,5.2455993682087865e-06
54,614.1388549804688,284.88861083984375,1.150490697909845e-05,600.7749633789062,278.4039001464844,1.4767579159524757e-05
55,379.2078857421875,-5.181674957275391,6.846485575806582e-06,5.281228542327881,-0.21095752716064453,5.12732094648527e-06
56,267.4366149902344,-4.1960248947143555,6.165960712678498e-06,5.472960948944092,-0.08532953262329102,5.273995611787541e-06
57,379.06134033203125,-5.2577314376831055,7.58528767619282e-06,5.327400207519531,-0.1940779685974121,4.865740720561007e-06
58,179.8506622314453,482.1300048828125,9.416351531399414e-06,5.315919876098633,-0.2237706184387207,4.887552677246276e-06
59,267.4541931152344,-4.177868843078613,5.430611508927541e-06,600.7691650390625,278.669677734375,5.294803941069404e-06
60,244.00828552246094,-3.428173542022705,6.705379291815916e-06,5.37557315826416,-0.18324613571166992,5.2678528845717665e-06
61,251.1957550048828,-4.307927131652832,6.47656725050183e-06,334.31573486328125,178.36184692382812,2.4202698114095256e-05
62,622.5003051757812,279.6638488769531,1.1609337889240123e-05,609.4724731445312,286.8787841796875,2.1135692804818973e-05
63,267.4244689941406,-4.164674758911133,6.735077931807609e-06,609.4998168945312,275.5205383300781,5.42295720151742e-06
64,388.0983581542969,-4.147314071655273,6.776725058443844e-06,5.289365768432617,-0.1886296272277832,5.330233307176968e-06
65,411.53741455078125,-4.554075241088867,6.956617198738968e-06,5.371163845062256,-0.14501237869262695,4.903538410871988e-06
66,411.5417175292969,-4.521871566772461,6.385181677615037e-06,5.345129489898682,-0.17470169067382812,5.111911832500482e-06
67,388.0723876953125,-4.116759300231934,6.6349998633086216e-06,5.343496799468994,-0.17507266998291016,4.667005669034552e-06
68,179.9437713623047,482.0614929199219,9.629436135583092e-06,5.336280822753906,-0.17062759399414062,4.951951723342063e-06
69,251.11119079589844,-4.410512924194336,7.806087523931637e-06,5.314120769500732,-0.15696954727172852,5.398616849561222e-06
70,388.1005859375,-4.120168685913086,7.875628398323897e-06,5.33350944519043,-0.18677091598510742,4.927079316985328e-06
71,139.7482147216797,-2.596402168273926,5.61981732971617e-06,5.467163562774658,-0.09220218658447266,5.191254331293749e-06
72,251.3389129638672,-4.171369552612305,6.969419700908475e-06,5.270870685577393,-0.21613788604736328,5.2780460464418866e-06
73,379.27691650390625,-5.275722503662109,6.879249667690601e-06,609.1443481445312,288.36224365234375,5.8821083257498685e-06
74,355.8771057128906,-3.788099765777588,5.939175480307313e-06,609.1439208984375,288.65008544921875,6.854913408460561e-06
75,251.082275390625,-4.429478645324707,6.764643785572844e-06,609.1329956054688,288.1903381347656,6.148497504909756e-06
76,251.20864868164062,-4.332673072814941,7.06895798430196e-06,5.315126895904541,-0.17873668670654297,5.743603196606273e-06
77,411.4314270019531,-4.517925262451172,6.220896921149688e-06,5.343247890472412,-0.22138023376464844,4.539791461866116e-06
