Chan,MeanRate
A28,"[10.56910569  8.1300813   3.25203252  9.75609756  8.94308943  8.94308943
  9.75609756  8.94308943  8.94308943 11.38211382  8.1300813   7.31707317
  7.31707317 13.00813008 13.82113821 13.00813008  9.75609756  9.75609756
 11.38211382  8.94308943  4.06504065  4.87804878 10.56910569  8.1300813
  7.31707317 13.00813008 13.00813008  8.94308943  4.87804878  8.1300813
  4.06504065  6.50406504  4.87804878  5.69105691  7.31707317  4.87804878
  5.69105691  9.75609756  3.25203252  3.25203252  5.69105691  4.06504065
  7.31707317  5.69105691  1.62601626  4.06504065  6.50406504  3.25203252
  4.87804878  3.25203252]"
A30,"[34.95934959 43.08943089 33.33333333 44.71544715 26.82926829 30.89430894
 32.5203252  39.83739837 26.01626016 30.89430894 30.89430894 39.83739837
 28.45528455 36.58536585 51.2195122  51.2195122  53.65853659 52.03252033
 36.58536585 43.08943089 37.39837398 39.02439024 46.34146341 40.6504065
 34.95934959 37.39837398 42.27642276 37.39837398 35.77235772 41.46341463
 31.70731707 40.6504065  47.15447154 40.6504065  32.5203252  36.58536585
 34.95934959 27.64227642 26.01626016 33.33333333 38.21138211 42.27642276
 25.20325203 31.70731707 34.95934959 26.01626016 38.21138211 24.3902439
 29.26829268 23.57723577]"
A12,"[54.47154472 53.65853659 50.40650407 46.34146341 60.16260163 38.21138211
 58.53658537 50.40650407 45.52845528 44.71544715 64.22764228 57.72357724
 58.53658537 58.53658537 51.2195122  50.40650407 53.65853659 52.03252033
 51.2195122  49.59349593 44.71544715 50.40650407 50.40650407 52.84552846
 35.77235772 56.09756098 53.65853659 52.03252033 41.46341463 47.15447154
 44.71544715 52.84552846 39.83739837 42.27642276 52.03252033 51.2195122
 42.27642276 48.7804878  44.71544715 39.02439024 47.15447154 36.58536585
 53.65853659 37.39837398 50.40650407 40.6504065  50.40650407 36.58536585
 46.34146341 42.27642276]"
A32,"[15.44715447 17.07317073 11.38211382 15.44715447  9.75609756  8.94308943
 17.88617886 13.82113821 11.38211382 12.19512195 16.2601626  13.00813008
 26.01626016 13.82113821 17.88617886 20.32520325 19.51219512 21.95121951
 15.44715447 12.19512195 12.19512195  8.1300813  13.00813008 16.2601626
  7.31707317 18.69918699 20.32520325 13.00813008 14.63414634  9.75609756
  7.31707317 14.63414634 15.44715447  9.75609756 12.19512195  7.31707317
 15.44715447  8.1300813  13.00813008  7.31707317  9.75609756  6.50406504
  8.1300813   8.1300813   7.31707317  8.1300813  16.2601626  12.19512195
 13.82113821  8.1300813 ]"
A02,"[10.56910569  6.50406504  9.75609756  9.75609756  7.31707317  8.1300813
 15.44715447 13.82113821 11.38211382  8.94308943 13.82113821 11.38211382
  8.1300813   8.1300813  19.51219512 14.63414634 10.56910569 14.63414634
 12.19512195  8.94308943  9.75609756  7.31707317 17.88617886  8.94308943
  9.75609756 23.57723577  8.94308943 13.00813008 15.44715447 10.56910569
  4.06504065 10.56910569 11.38211382  8.94308943 10.56910569  8.94308943
  7.31707317  6.50406504 10.56910569  4.06504065  5.69105691  4.06504065
  4.06504065  3.25203252  4.06504065  3.25203252  5.69105691  4.87804878
  1.62601626  0.        ]"
A31,"[10.56910569 12.19512195  8.1300813  10.56910569 11.38211382  8.94308943
 12.19512195 11.38211382 13.82113821 11.38211382 14.63414634 12.19512195
 13.82113821 16.2601626  13.82113821 15.44715447  8.1300813  13.82113821
 13.00813008 13.00813008  6.50406504  8.1300813  10.56910569  8.94308943
  8.1300813   7.31707317 15.44715447  8.94308943 13.82113821 12.19512195
  8.94308943 12.19512195  8.1300813   8.1300813   5.69105691 10.56910569
  7.31707317 10.56910569 11.38211382  6.50406504 11.38211382  5.69105691
 11.38211382  4.06504065  3.25203252  8.1300813  10.56910569  4.06504065
  5.69105691  4.06504065]"
A07,"[13.00813008 12.19512195 16.2601626  16.2601626  14.63414634 17.07317073
 17.07317073 18.69918699 17.07317073 17.88617886 23.57723577 13.00813008
 13.82113821 16.2601626  19.51219512 19.51219512 13.82113821 22.76422764
 18.69918699 17.07317073 17.88617886 21.13821138 18.69918699 16.2601626
 13.00813008 23.57723577 18.69918699 13.82113821 22.76422764 17.07317073
 12.19512195 20.32520325 13.82113821  6.50406504 20.32520325  7.31707317
  9.75609756 17.07317073 12.19512195 13.00813008 16.2601626   8.94308943
 10.56910569 12.19512195 11.38211382  5.69105691  9.75609756  9.75609756
  8.94308943  7.31707317]"
A14,"[61.78861789 56.91056911 51.2195122  51.2195122  43.08943089 52.03252033
 60.16260163 56.09756098 52.84552846 63.41463415 61.78861789 52.84552846
 53.65853659 52.03252033 42.27642276 43.08943089 50.40650407 56.09756098
 77.23577236 49.59349593 49.59349593 49.59349593 60.16260163 56.09756098
 55.28455285 64.22764228 56.09756098 47.96747967 52.03252033 65.04065041
 47.96747967 52.03252033 62.60162602 70.73170732 64.22764228 66.66666667
 50.40650407 61.78861789 42.27642276 47.15447154 37.39837398 67.4796748
 56.09756098 40.6504065  42.27642276 34.95934959 49.59349593 39.02439024
 49.59349593 50.40650407]"
A20,"[14.63414634 10.56910569 10.56910569 15.44715447  9.75609756  6.50406504
 13.00813008  6.50406504 14.63414634 13.82113821 15.44715447 15.44715447
 17.88617886 10.56910569 19.51219512 14.63414634 10.56910569 21.95121951
 13.00813008 10.56910569 12.19512195 11.38211382 17.07317073 16.2601626
  8.1300813  17.07317073 17.07317073 11.38211382 14.63414634  8.94308943
  9.75609756  9.75609756  6.50406504  8.94308943 16.2601626   8.1300813
 11.38211382 13.00813008  9.75609756 10.56910569  5.69105691  8.94308943
  9.75609756  6.50406504  5.69105691  5.69105691 13.00813008  6.50406504
  8.1300813   6.50406504]"
A22,"[ 43.90243902  49.59349593  52.03252033  50.40650407  54.47154472
  60.16260163  48.7804878   57.72357724  59.3495935   61.78861789
  65.85365854  75.6097561   71.54471545 112.19512195  82.92682927
  70.73170732  69.10569106  75.6097561   55.28455285  58.53658537
  53.65853659  52.84552846  43.90243902  49.59349593  49.59349593
  49.59349593  62.60162602  47.96747967  53.65853659  51.2195122
  56.91056911  52.84552846  41.46341463  40.6504065   47.96747967
  57.72357724  52.84552846  54.47154472  38.21138211  47.15447154
  54.47154472  47.96747967  45.52845528  43.08943089  56.09756098
  47.15447154  47.96747967  49.59349593  51.2195122   44.71544715]"
