Unnamed: 0,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta,A18,B03,B01,B08,A19,B25,A21,B15,B20,A15,A01,B18,A16,B32,A23,B10,B31,A13,A25,A10,A28,A30,A12,A32,A02,A31,B17,A07,B07,B13,B09,B12,B19,A14,B22,B02,B23,A20,B04,B27,A22,B11,A03,B24,A29,A04,B16,A11,B06,B21,B29,B26,A05,A09,A06,B30,A24,A27,A08,B14,A26,B05,B28,A17
10,662,663,7,82,30,2397247,54.359342,477.771342,495.4899,489.8509,12246,12246,378.531614496403,369.408570466349,409.531265698081,296.720889894207,373.970092481376,353.126077796144,4.561522015026981,56.40518790193698,-0.0806950002580133,336.1,102.1,-17.512287823122136,-253.26183173440057,253.8665705410299,-1.6398334058557584,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,11,0,2,3,0,0,1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0
11,720,721,8,57,30,1640035,37.189002,520.875002,538.5987,532.9597,13324,13324,370.248092329521,370.692391671187,187.747701129164,298.745191469836,370.470242000354,243.2464462995,-0.222149670833005,-55.49874517033601,3.1375898876945896,336.1,102.1,33.80499198560566,141.28289123242658,145.2708946697188,1.3359401318004842,1,9,6,14,3,14,0,7,17,0,0,17,3,13,0,11,12,1,5,0,0,0,4,0,0,0,13,0,9,18,10,15,12,3,13,10,12,0,19,10,3,8,1,12,0,0,12,0,21,17,16,12,0,2,0,15,0,4,1,15,0,7,15,0
12,731,732,8,68,30,1976068,44.808798,528.494798,546.21855,540.57955,13514,13514,392.324281258293,399.988313967412,92.4051879253495,98.6910128742937,396.1562976128525,95.5481003998216,-3.832016354559528,-3.142912474472112,2.2577168073685634,336.1,102.1,43.15119337783661,42.28073771119519,60.412633375266246,0.7752096362764322,1,0,2,0,10,0,0,1,0,0,7,0,7,0,0,13,0,1,9,0,5,10,2,12,9,4,0,0,0,0,0,0,0,4,0,1,1,10,0,1,9,5,4,0,4,3,0,0,0,0,0,0,9,2,8,0,5,10,6,0,0,0,0,0
13,788,789,9,42,30,1253797,28.430771,572.413771,590.11965,584.48065,14612,14612,187.569022514154,185.097694482306,368.103682815883,357.09762880642,186.33335849823,362.6006558111515,1.2356640159240158,5.503027004731507,-0.2208790440432719,336.1,102.1,203.2005069258811,-221.35987118225543,300.4840072029787,-0.8281442683160034,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,15,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,43,44,0,44,29,1325181,30.049456,31.115456,48.94715,43.30815,1083,1083,334.263889838736,331.024648884044,124.322792285777,294.055072732923,332.64426936139,209.18893250935,1.619620477346018,-84.866140223573,-3.122510556936058,267.0,101.0,67.69666469905746,106.91668160828225,126.5464942916374,1.0063419842689614,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,2,2,2,9,3,2,3,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,6,5,1,0,0,1,2,0,0,2,3,4,0,5,0,2,0,2,0,0,1,0,0,0
15,148,149,1,66,29,1915830,43.442857,104.863857,122.6197,116.9807,2925,2925,323.643227009819,328.012478235653,123.128271585635,295.33604262407,325.82785262273603,209.2321571048525,-2.1846256129170456,-86.10388551921749,3.116226120989458,267.0,101.0,56.0637468070712,109.68943599875256,123.186509309144,1.0982975314490622,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,1,2,1,0,0,0,1,0,1,1,0,1,3,0,1,1,0,2,2,5,2,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,1,0,1,0,0
16,184,185,2,19,29,580812,13.17034,134.87734,152.6263,146.9873,3675,3675,305.088932775058,309.890093435597,256.314361667649,262.199240541228,307.48951310532755,259.2568011044385,-2.40058033026952,-2.9424394367895275,2.457263334806373,267.0,101.0,-68.66956401271248,148.21979201719412,163.35426461319062,2.0046516265641365,2,0,0,0,0,1,0,4,0,0,0,0,2,0,0,12,2,2,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
17,245,246,2,80,29,2314232,52.476916,174.183916,191.933,186.294,4657,4657,262.884395283419,258.156169816277,415.400234758189,298.764579845949,260.520282549848,357.082407302069,2.3641127335710053,58.31782745612003,-0.0405162379964052,267.0,101.0,16.847057055092424,-255.6097860733016,256.1643731432155,-1.5049822358145644,0,0,1,0,1,2,0,0,0,1,1,0,2,2,0,7,2,2,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,7,0,1,1,0,1,3,3,3,1,0,0,0,0,0,0,1,3,2,0,1,0,1,0,1,0,0,0,0,1,0
18,256,257,3,8,29,258591,5.863741,187.856741,205.59885,199.95985,4999,4999,272.206870926221,275.973188659539,378.517471293619,385.974256280146,274.09002979288,382.2458637868825,-1.8831588666590164,-3.7283924932635273,2.673884524288704,267.0,101.0,-120.4687859137314,254.2376369465488,281.3352171692936,2.0133004287847776,1,0,0,0,1,0,6,0,0,5,0,1,4,0,1,3,1,2,5,0,2,0,5,2,0,2,0,3,1,1,2,0,0,1,0,0,2,0,0,2,2,6,2,0,5,0,0,3,0,0,6,2,1,2,1,0,1,2,1,2,1,0,0,5
19,368,369,4,37,29,1092420,24.771429,267.139429,284.87865,279.23965,6981,6981,391.302743386475,392.241601182629,64.2601800045692,62.8499051685825,391.772172284552,63.55504258657585,-0.4694288980769556,0.7051374179933418,0.5873516652080046,267.0,101.0,-83.11131273302887,100.31315720328884,130.26979623956993,2.2626863617397,0,1,0,0,2,0,0,2,0,1,0,0,8,0,4,10,2,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,5,2,1,0,10,0,0,0,0,0,3,3,0,0,1,0,0,3,5,0,0,0,0,0
