Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame
1,0,1,40,52484,1.190113,2.428113,45.41385,39.86385,997
2,0,2,30,76666,1.738458,2.976458,45.96225,40.41225,1010
3,0,3,39,98183,2.226372,3.464372,46.45015,40.90015,1023
4,0,4,21,117519,2.66483,3.90283,46.8886,41.3386,1033
5,0,5,8,142913,3.240658,4.478658,47.46445,41.91445,1048
6,0,6,10,175576,3.981315,5.219315,48.2051,42.6551,1066
7,0,7,39,196851,4.463741,5.701741,48.6875,43.1375,1078
8,0,8,10,230725,5.231859,6.469859,49.45565,43.90565,1098
9,0,9,21,268477,6.087914,7.325914,50.3117,44.7617,1119
10,0,10,8,305986,6.938458,8.176458,51.16225,45.61225,1140
11,0,11,7,334045,7.574717,8.812717,51.7985,46.2485,1156
12,0,12,43,361135,8.189002,9.427002,52.50565,46.95565,1174
13,0,13,10,399614,9.061542,10.299542,53.3782,47.8282,1196
14,0,14,30,423312,9.598912,10.836912,53.91555,48.36555,1209
15,0,15,8,457913,10.383515,11.621515,54.7002,49.1502,1229
16,0,16,29,476522,10.805488,12.043488,55.12215,49.57215,1239
17,0,17,7,497555,11.282426,12.520426,55.5991,50.0491,1251
18,0,18,39,522222,11.841769,13.079769,56.15845,50.60845,1265
19,0,19,43,546162,12.384626,13.622626,56.7013,51.1513,1279
20,0,20,9,566225,12.839569,14.077569,57.15625,51.60625,1290
21,0,21,30,599857,13.6022,14.8402,58.01175,52.46175,1312
22,0,22,7,627189,14.221973,15.459973,58.63155,53.08155,1327
23,0,23,43,660337,14.973628,16.211628,59.3832,53.8332,1346
24,0,24,22,696150,15.785714,17.023714,60.19525,54.64525,1366
25,0,25,29,734144,16.647256,17.885256,61.0568,55.5068,1388
26,0,26,21,752268,17.058231,18.296231,61.4678,55.9178,1398
27,0,27,40,781539,17.721973,18.959973,62.13155,56.58155,1415
28,0,28,39,820260,18.6,19.838,63.00955,57.45955,1436
29,0,29,29,852681,19.33517,20.57317,63.74475,58.19475,1455
30,0,30,21,884132,20.048345,21.286345,64.4579,58.9079,1473
31,0,31,30,913161,20.706599,21.944599,65.11615,59.56615,1489
32,0,32,8,945339,21.436259,22.674259,65.84585,60.29585,1507
33,0,33,8,984302,22.319773,23.557773,66.72935,61.17935,1529
34,0,34,44,1012604,22.961542,24.199542,67.37115,61.82115,1546
35,0,35,7,1037028,23.515374,24.753374,67.92495,62.37495,1559
36,0,36,29,1057818,23.986803,25.224803,68.3964,62.8464,1571
37,0,37,8,1084182,24.584626,25.822626,69.0871,63.5371,1588
38,0,38,30,1112725,25.231859,26.469859,69.73435,64.18435,1605
39,0,39,21,1135696,25.752744,26.990744,70.2552,64.7052,1618
40,0,40,44,1158909,26.279116,27.517116,70.7816,65.2316,1631
41,0,41,8,1177276,26.695601,27.933601,71.19805,65.64805,1641
42,0,42,43,1213816,27.524172,28.762172,72.02665,66.47665,1662
43,0,43,40,1235818,28.023084,29.261084,72.52555,66.97555,1674
44,0,44,40,1258304,28.532971,29.770971,73.12835,67.57835,1689
45,0,45,40,1293875,29.339569,30.577569,73.93495,68.38495,1710
46,0,46,7,1329203,30.140658,31.378658,74.736,69.186,1730
47,0,47,44,1360170,30.842857,32.080857,75.4382,69.8882,1747
48,0,48,44,1396952,31.676916,32.914916,76.27225,70.72225,1768
49,0,49,39,1421862,32.241769,33.479769,76.83715,71.28715,1782
50,0,50,43,1444590,32.757143,33.995143,77.3525,71.8025,1795
51,0,51,9,1481857,33.6022,34.8402,78.19755,72.64755,1816
52,0,52,10,1502162,34.06263,35.30063,78.658,73.108,1828
53,0,53,9,1521741,34.506599,35.744599,79.10195,73.55195,1839
54,0,54,22,1547862,35.098912,36.336912,79.6943,74.1443,1854
55,0,55,9,1566955,35.531859,36.769859,80.12725,74.57725,1864
56,0,56,10,1595742,36.184626,37.422626,80.78,75.23,1881
57,0,57,10,1627435,36.903288,38.141288,81.59155,76.04155,1901
58,0,58,29,1658160,37.6,38.838,82.28825,76.73825,1918
59,0,59,10,1678708,38.065941,39.303941,82.7542,77.2042,1930
60,0,60,29,1713794,38.861542,40.099542,83.5498,77.9998,1950
61,0,61,43,1733615,39.310998,40.548998,83.99925,78.44925,1961
62,0,62,22,1759251,39.892313,41.130313,84.58055,79.03055,1976
63,0,63,9,1784402,40.46263,41.70063,85.1509,79.6009,1990
64,0,64,22,1817792,41.219773,42.457773,85.90805,80.35805,2009
65,0,65,30,1845609,41.850544,43.088544,86.5388,80.9888,2025
66,0,66,39,1876818,42.558231,43.796231,87.33935,81.78935,2045
67,0,67,40,1894701,42.963741,44.201741,87.7449,82.1949,2055
68,0,68,44,1918156,43.495601,44.733601,88.27675,82.72675,2068
69,0,69,22,1954212,44.313197,45.551197,89.09435,83.54435,2089
70,0,70,30,1981059,44.921973,46.159973,89.70315,84.15315,2104
71,0,71,7,2002818,45.415374,46.653374,90.19655,84.64655,2116
72,0,72,21,2034755,46.139569,47.377569,90.92075,85.37075,2134
73,0,73,22,2064510,46.814286,48.052286,91.59545,86.04545,2151
74,0,74,29,2103958,47.708798,48.946798,92.48995,86.93995,2173
75,0,75,21,2142194,48.575828,49.813828,93.357,87.807,2195
76,0,76,9,2169768,49.201088,50.439088,93.98225,88.43225,2211
77,0,77,44,2187408,49.601088,50.839088,94.38225,88.83225,2221
78,0,78,43,2222252,50.391202,51.629202,95.17235,89.62235,2241
79,0,79,22,2251765,51.060431,52.298431,95.8416,90.2916,2257
80,0,80,44,2282248,51.751655,52.989655,96.53285,90.98285,2275
81,0,81,7,2315153,52.4978,53.7358,97.27895,91.72895,2293
82,0,82,40,2341032,53.084626,54.322626,97.8658,92.3158,2308
83,0,83,9,2377329,53.907687,55.145687,98.68885,93.13885,2328
84,1,1,8,46668,1.058231,64.092231,107.04725,101.49725,2537
85,1,2,39,71093,1.612086,64.646086,107.6011,102.0511,2551
86,1,3,44,109572,2.484626,65.518626,108.47365,102.92365,2573
87,1,4,21,136904,3.104399,66.138399,109.0934,103.5434,2589
88,1,5,22,155755,3.531859,66.565859,109.52085,103.97085,2599
89,1,6,7,173880,3.942857,66.976857,109.93185,104.38185,2610
90,1,7,44,199758,4.52966,67.56366,110.51865,104.96865,2624
91,1,8,9,225395,5.110998,68.144998,111.1,105.55,2639
92,1,9,40,263631,5.978027,69.012027,111.96705,106.41705,2660
93,1,10,43,300171,6.806599,69.840599,112.7956,107.2456,2681
94,1,11,10,319265,7.239569,70.273569,113.2286,107.6786,2692
95,1,12,9,338601,7.678027,70.712027,113.66705,108.11705,2703
96,1,13,29,374898,8.501088,71.535088,114.583,109.033,2726
97,1,14,7,406108,9.208798,72.242798,115.2907,109.7407,2744
98,1,15,44,439013,9.954943,72.988943,116.03685,110.48685,2762
99,1,16,9,470707,10.673628,73.707628,116.75555,111.20555,2780
100,1,17,9,501432,11.37034,74.40434,117.45225,111.90225,2798
101,1,18,10,526583,11.940658,74.974658,118.02255,112.47255,2812
102,1,19,8,550281,12.478027,75.512027,118.55995,113.00995,2825
103,1,20,30,585125,13.268141,76.302141,119.35005,113.80005,2845
104,1,21,44,607126,13.767029,76.801029,119.84895,114.29895,2857
105,1,22,30,634216,14.381315,77.415315,120.46325,114.91325,2873
106,1,23,10,652098,14.786803,77.820803,120.8687,115.3187,2883
107,1,24,29,691062,15.67034,78.70434,121.75225,116.20225,2905
108,1,25,22,716455,16.246145,79.280145,122.32805,116.77805,2919
109,1,26,9,751057,17.030771,80.064771,123.1127,117.5627,2939
110,1,27,7,779843,17.683515,80.717515,123.76545,118.21545,2955
111,1,28,21,798452,18.105488,81.139488,124.1874,118.6374,2966
112,1,29,7,830631,18.83517,81.86917,124.9171,119.3671,2984
113,1,30,10,866202,19.641769,82.675769,125.7237,120.1737,3004
114,1,31,22,905649,20.536259,83.570259,126.6182,121.0682,3027
115,1,32,10,940008,21.315374,84.349374,127.3973,121.8473,3046
116,1,33,43,959587,21.759342,84.793342,127.84125,122.29125,3057
117,1,34,39,981104,22.247256,85.281256,128.3292,122.7792,3069
118,1,35,8,1002378,22.72966,85.76366,128.8116,123.2616,3082
119,1,36,10,1027045,23.289002,86.323002,129.37095,123.82095,3096
120,1,37,44,1057043,23.969229,87.003229,130.05115,124.50115,3113
121,1,38,29,1093098,24.786803,87.820803,130.86875,125.31875,3133
122,1,39,43,1122369,25.450544,88.484544,131.5325,125.9825,3150
123,1,40,7,1154790,26.185714,89.219714,132.26765,126.71765,3168
124,1,41,8,1192542,27.041769,90.075769,133.1237,127.5737,3189
125,1,42,8,1215028,27.551655,90.585655,133.6336,128.0836,3202
126,1,43,43,1238968,28.094512,91.128512,134.17645,128.62645,3216
127,1,44,30,1272115,28.846145,91.880145,134.9281,129.3781,3234
128,1,45,7,1293875,29.339569,92.373569,135.4215,129.8715,3247
129,1,46,8,1316118,29.843946,92.877946,135.9259,130.3759,3259
130,1,47,10,1336666,30.309887,93.343887,136.39185,130.84185,3271
131,1,48,30,1365695,30.968141,94.002141,137.0501,131.5001,3288
132,1,49,8,1399812,31.741769,94.775769,137.82375,132.27375,3307
133,1,50,39,1433202,32.498912,95.532912,138.58085,133.03085,3326
134,1,51,40,1462715,33.168141,96.202141,139.2501,133.7001,3343
135,1,52,22,1493197,33.859342,96.893342,139.9413,134.3913,3360
136,1,53,44,1513260,34.314286,97.348286,140.39625,134.84625,3371
137,1,54,9,1548588,35.115374,98.149374,141.19735,135.64735,3391
138,1,55,30,1585371,35.949456,98.983456,142.03145,136.48145,3412
139,1,56,40,1612945,36.574717,99.608717,142.6567,137.1067,3428
140,1,57,43,1641489,37.221973,100.255973,143.30395,137.75395,3444
141,1,58,29,1661795,37.682426,100.716426,143.7644,138.2144,3455
142,1,59,21,1688400,38.285714,101.319714,144.3677,138.8177,3470
143,1,60,44,1727121,39.163741,102.197741,145.2457,139.6957,3492
144,1,61,40,1754938,39.794512,102.828512,145.8765,140.3265,3508
145,1,62,22,1782997,40.430771,103.464771,146.51275,140.96275,3524
146,1,63,9,1818083,41.226372,104.260372,147.40125,141.85125,3546
147,1,64,39,1841538,41.758231,104.792231,147.9331,142.3831,3560
148,1,65,39,1862571,42.23517,105.26917,148.41005,142.86005,3572
149,1,66,39,1885542,42.756054,105.790054,148.9309,143.3809,3585
150,1,67,21,1923051,43.606599,106.640599,149.78145,144.23145,3606
151,1,68,21,1954018,44.308798,107.342798,150.48365,144.93365,3623
152,1,69,40,1989831,45.120884,108.154884,151.29575,145.74575,3644
153,1,70,29,2029036,46.009887,109.043887,152.18475,146.63475,3666
154,1,71,43,2066061,46.849456,109.883456,153.02435,147.47435,3687
155,1,72,40,2090243,47.3978,110.4318,153.66555,148.11555,3703
156,1,73,30,2111033,47.869229,110.903229,154.137,148.587,3715
157,1,74,30,2135942,48.434059,111.468059,154.7018,149.1518,3729
158,1,75,21,2169575,49.196712,112.230712,155.46445,149.91445,3748
159,1,76,29,2197876,49.838458,112.872458,156.10625,150.55625,3764
160,1,77,43,2215516,50.238458,113.272458,156.50625,150.95625,3774
161,1,78,39,2249391,51.006599,114.040599,157.27435,151.72435,3793
162,1,79,21,2287385,51.868141,114.902141,158.1359,152.5859,3815
163,1,80,29,2310113,52.383515,115.417515,158.6513,153.1013,3828
164,1,81,22,2328480,52.8,115.834,159.06775,153.51775,3838
165,1,82,40,2358720,53.485714,116.519714,159.7535,154.2035,3855
166,1,83,22,2384841,54.078027,117.112027,160.3458,154.7958,3870
167,2,1,30,59753,1.354943,125.815943,168.73765,163.18765,4080
168,2,2,30,83208,1.886803,126.347803,169.2695,163.7195,4093
169,2,3,10,119506,2.709887,127.170887,170.0926,164.5426,4114
170,2,4,40,149504,3.390113,127.851113,170.77285,165.22285,4131
171,2,5,9,183863,4.169229,128.630229,171.55195,166.00195,4150
172,2,6,22,214103,4.854943,129.315943,172.23765,166.68765,4167
173,2,7,39,238043,5.3978,129.8588,172.78055,167.23055,4181
174,2,8,29,263922,5.984626,130.445626,173.46025,167.91025,4198
175,2,9,8,302885,6.868141,131.329141,174.34375,168.79375,4220
176,2,10,43,328278,7.443946,131.904946,174.91955,169.36955,4234
177,2,11,30,366272,8.305488,132.766488,175.7811,170.2311,4256
178,2,12,40,397482,9.013197,133.474197,176.4888,170.9388,4273
179,2,13,29,416575,9.446145,133.907145,176.92175,171.37175,4284
180,2,14,21,436638,9.901088,134.362088,177.3767,171.8267,4296
181,2,15,10,459852,10.427483,134.888483,177.9031,172.3531,4309
182,2,16,43,495907,11.245057,135.706057,178.72065,173.17065,4329
183,2,17,8,522512,11.848345,136.309345,179.32395,173.77395,4344
184,2,18,43,542818,12.308798,136.769798,179.78445,174.23445,4356
185,2,19,7,580085,13.153855,137.614855,180.6295,175.0795,4377
186,2,20,8,597967,13.559342,138.020342,181.03495,175.48495,4387
187,2,21,39,631599,14.321973,138.782973,181.7976,176.2476,4406
188,2,22,21,656266,14.881315,139.342315,182.35695,176.80695,4420
189,2,23,7,690383,15.654943,140.115943,183.13055,177.58055,4440
190,2,24,44,717715,16.274717,140.735717,183.75035,178.20035,4455
191,2,25,7,745290,16.9,141.361,184.37565,178.82565,4471
192,2,26,9,780861,17.706599,142.167599,185.18225,179.63225,4491
193,2,27,30,814008,18.458231,142.919231,185.93385,180.38385,4510
194,2,28,29,842310,19.1,143.561,186.57565,181.02565,4526
195,2,29,44,877396,19.895601,144.356601,187.37125,181.82125,4546
196,2,30,21,900367,20.416485,144.877485,187.89215,182.34215,4559
197,2,31,39,939572,21.305488,145.766488,188.78115,183.23115,4581
198,2,32,39,959151,21.749456,146.210456,189.2251,183.6751,4592
199,2,33,10,985514,22.347256,146.808256,189.8229,184.2729,4607
200,2,34,44,1016481,23.049456,147.510456,190.5251,184.9751,4624
201,2,35,7,1040178,23.586803,148.047803,191.06245,185.51245,4638
202,2,36,22,1071872,24.305488,148.766488,191.78115,186.23115,4656
203,2,37,21,1092420,24.771429,149.232429,192.2471,186.6971,4667
204,2,38,7,1116845,25.325283,149.786283,192.80095,187.25095,4681
205,2,39,9,1135212,25.741769,150.202769,193.21745,187.66745,4692
206,2,40,39,1156728,26.22966,150.69066,193.7053,188.1553,4704
207,2,41,21,1182849,26.821973,151.282973,194.29765,188.74765,4719
208,2,42,29,1215270,27.557143,152.018143,195.0328,189.4828,4737
209,2,43,22,1235091,28.006599,152.467599,195.48225,189.93225,4748
210,2,44,9,1263635,28.653855,153.114855,196.12955,190.57955,4764
211,2,45,30,1282244,29.075828,153.536828,196.5515,191.0015,4775
212,2,46,39,1307395,29.646145,154.107145,197.1218,191.5718,4789
213,2,47,39,1326732,30.084626,154.545626,197.5603,192.0103,4800
214,2,48,10,1357456,30.781315,155.242315,198.257,192.707,4818
215,2,49,43,1379215,31.274717,155.735717,198.7504,193.2004,4830
216,2,50,29,1401944,31.790113,156.251113,199.2658,193.7158,4843
217,2,51,10,1436545,32.574717,157.035717,200.0504,194.5004,4863
218,2,52,29,1470420,33.342857,157.803857,200.81855,195.26855,4882
219,2,53,43,1509141,34.220884,158.681884,201.69655,196.14655,4904
220,2,54,22,1546165,35.060431,159.521431,202.5361,196.9861,4925
