Chan,MeanRate
A20,"[ 0.          8.33333333  0.          0.          0.          0.
  0.         50.         66.66666667 16.66666667 33.33333333  8.33333333
  0.          8.33333333  0.          0.          8.33333333  8.33333333
  8.33333333  8.33333333  0.         16.66666667  0.          0.
  0.         16.66666667  0.          0.          8.33333333  0.
  0.          0.          0.          0.         16.66666667  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         16.66666667  0.          0.
  0.          0.        ]"
A10,"[ 0.          0.          0.          0.          0.          0.
  0.         16.66666667  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
A31,"[ 16.66666667   0.           0.           0.           0.
   8.33333333  33.33333333 100.          58.33333333  33.33333333
  41.66666667  25.           8.33333333  25.          16.66666667
  33.33333333  16.66666667  25.          50.          75.
  16.66666667  25.           8.33333333   8.33333333   8.33333333
   8.33333333  16.66666667   8.33333333  33.33333333  16.66666667
  16.66666667   0.           8.33333333   8.33333333  16.66666667
  25.          16.66666667  16.66666667   0.           8.33333333
   8.33333333   0.          16.66666667   0.           8.33333333
   8.33333333  25.           8.33333333  25.           0.        ]"
A03,"[  0.           0.           0.           0.           0.
   0.           0.         100.         141.66666667  91.66666667
  83.33333333  66.66666667  66.66666667  50.          75.
  41.66666667  16.66666667  75.         108.33333333  75.
  66.66666667  58.33333333   8.33333333   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           8.33333333   8.33333333]"
A06,"[ 8.33333333  0.          0.          0.          8.33333333  0.
  8.33333333 58.33333333 25.         33.33333333 25.          8.33333333
  0.          0.         16.66666667 16.66666667 16.66666667 33.33333333
 16.66666667 33.33333333 25.         41.66666667 33.33333333 25.
  8.33333333 16.66666667 16.66666667 16.66666667  8.33333333 25.
  8.33333333  0.         33.33333333  8.33333333 16.66666667 33.33333333
 16.66666667  0.          0.          0.          8.33333333 25.
  8.33333333  8.33333333  0.          8.33333333 16.66666667  0.
  0.         16.66666667]"
A11,"[  8.33333333  16.66666667   8.33333333  16.66666667   0.
  16.66666667  25.         100.         100.          91.66666667
  83.33333333  50.          58.33333333  41.66666667  66.66666667
  33.33333333   8.33333333  50.          75.          66.66666667
  75.          50.           0.           0.           8.33333333
  33.33333333   8.33333333  25.           0.           8.33333333
   0.          16.66666667  16.66666667  33.33333333   0.
  16.66666667   8.33333333  33.33333333   0.           8.33333333
   8.33333333   0.           0.           0.          16.66666667
   8.33333333   0.          16.66666667   8.33333333  16.66666667]"
A02,"[ 0.          0.          0.          0.          0.          0.
  0.         25.         16.66666667 16.66666667  0.          0.
  0.          0.          0.         25.          0.          0.
  8.33333333  0.         16.66666667 33.33333333  0.          8.33333333
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          8.33333333  0.          0.
  0.          0.        ]"
A05,"[ 8.33333333  8.33333333 16.66666667  0.          0.          8.33333333
  0.         50.         75.         41.66666667 25.         41.66666667
 25.         16.66666667 25.         25.          0.         16.66666667
 41.66666667 41.66666667 41.66666667 41.66666667  0.          8.33333333
  8.33333333  0.          0.          0.          8.33333333  0.
  0.          0.         16.66666667  0.         16.66666667  0.
  8.33333333  0.          8.33333333  0.          8.33333333  0.
 16.66666667  0.          0.          8.33333333  8.33333333  0.
  8.33333333  0.        ]"
A23,"[ 0.          0.          0.          0.          0.          0.
  0.         58.33333333 50.          8.33333333  0.          0.
  0.          0.          0.          8.33333333  0.          0.
 25.          0.         16.66666667  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
A01,"[ 0.          0.          0.          0.          0.          0.
  0.         41.66666667 33.33333333 16.66666667  8.33333333  0.
  8.33333333  8.33333333  0.         16.66666667  0.          8.33333333
 41.66666667  8.33333333 16.66666667 41.66666667  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
A21,"[ 0.          0.          0.          0.          0.          0.
  0.         91.66666667 75.         50.         58.33333333 50.
 25.         25.         33.33333333 25.          8.33333333 41.66666667
 75.         50.         58.33333333 25.         16.66666667  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
A07,"[ 0.          0.          0.          0.          0.          0.
  0.         58.33333333 83.33333333 58.33333333 58.33333333 41.66666667
 41.66666667 16.66666667 41.66666667 25.          0.         33.33333333
 83.33333333 41.66666667 50.         33.33333333 16.66666667  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          8.33333333
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]"
