,index,Global_Idx,Block,Local_Idx,Speaker,Pulse_Samp,Pulse_Time,EstimatedTimeOut,MCS_Time,est_frame_time,closest_frame,frame,blue_x,red_x,blue_y,red_y,head_x,head_y,blue_zero_x,blue_zero_y,head_angle,speak_xpix,speak_ypix,h2s_x,h2s_y,h2s_distance,h2s_theta
0,187,188,2,22,21,656266,14.881315,139.342315,182.35695,176.80695,4420,4420,207.898538905262,235.168086124744,352.031944028124,350.289159379396,221.533312515003,351.16055170376,-13.63477360974099,0.871392324363967,1.5069735698111528,268.5,160.5,-187.27686156864226,-59.03128687649554,196.3601683368995,-2.836242023970673
1,235,236,2,70,21,2014013,45.669229,170.130229,213.2378,207.6878,5192,5192,386.154637709471,390.674378828805,284.755123825047,286.93267999233,388.41450826913797,285.8439019086885,-2.259870559666979,-1.0887780836415004,2.0197683182454718,268.5,160.5,-60.87389127986748,162.43445570312647,173.46637437591207,1.9293563247555472
2,245,246,2,80,21,2309386,52.367029,176.828029,219.93565,214.38565,5360,5360,378.977233525132,383.376853505432,69.2492195483183,77.375163264998,381.177043515282,73.31219140665814,-2.1998099901499586,-4.06297185833985,2.6453538237853165,268.5,160.5,140.59787103146152,-23.023222278266676,142.47045343738458,-0.16231172712106012
3,275,276,3,27,21,819582,18.584626,204.480626,247.54685,241.99685,6050,6050,409.140921987773,412.808702066382,127.116095179849,138.118007872808,410.9748120270775,132.6170515263285,-1.8338900393044923,-5.500956346479512,2.8198031734794773,268.5,160.5,143.98011284783425,18.608008546359958,145.17758393683403,0.12852769027936084
4,189,190,2,24,44,717715,16.274717,140.735717,183.75035,178.20035,4455,4455,210.479902999164,234.780263145884,339.687471020374,339.193197240452,222.630083072524,339.440334130413,-12.15018007335999,0.24713688996098426,1.550458947854806,349.0,395.7,58.81788724509753,-125.19968868985957,138.32753127275407,-1.1316053279104332
5,232,233,2,67,44,1956005,44.353855,168.814855,211.82955,206.27955,5157,5157,390.620302995448,404.435840376309,342.379977078882,343.57472884058,397.5280716858785,342.977352959731,-6.907768690430487,-0.597375880848972,1.6570605573389443,349.0,395.7,56.70764711258147,43.80518247236826,71.65648088262881,0.6577299978217885
6,234,235,2,69,40,1995888,45.258231,169.719231,212.73395,207.18395,5180,5180,396.642335308625,403.220503054162,315.289264233365,317.954508423853,399.9314191813935,316.621886328609,-3.289083872768515,-1.3326220952440053,1.9557474564962813,270.8,282.1,16.495171810319825,132.64461301701698,133.66631608406868,1.4470753387685722
7,246,247,2,81,40,2331388,52.865941,177.326941,220.43455,214.88455,5372,5372,385.627630778487,381.109945294143,76.147276805725,88.2195671720397,383.368788036315,82.18342198888234,2.258842742172021,-6.036145183157345,-2.783506504051087,270.8,282.1,35.361225490121896,-226.6891129619525,229.43053459302254,-1.416053438349353
8,261,262,3,13,40,380472,8.627483,194.523483,237.5897,232.0397,5801,5801,263.108737905763,257.149539704632,409.031818004487,415.639342828362,260.1291388051975,412.3355804164245,2.9795991005655083,-3.303762411937498,-2.4077395383159708,270.8,282.1,79.29927172048644,103.85951660604897,130.672008039372,0.9186956619078734
9,273,274,3,25,9,749652,16.998912,202.894912,245.96115,240.41115,6010,6010,375.751671466482,386.055078531997,86.1061904255662,88.8225097033068,380.90337499923953,87.4643500644365,-5.151703532757551,-1.3581596388703048,1.828564429508969,339.6,160.2,80.8617436273657,21.396774883585255,83.64474614628608,0.25868069539468985
10,325,326,3,77,8,2234658,50.672517,236.568517,279.63485,274.08485,6852,6852,292.34594548178,287.984011664526,84.2434366707841,92.3811775526109,290.164978573153,88.31230711169749,2.180966908626999,-4.068870440913386,-2.6495515070602904,344.6,277.3,-137.26009346495584,-140.85164664630736,196.67109503174237,-2.3432811426948312
11,338,339,4,7,43,189824,4.304399,251.832399,294.7532,289.2032,7230,7230,280.561649520969,274.596220254337,180.206209285126,289.223348174287,277.578934887653,234.7147787297065,2.982714633315993,-54.5085694445805,-3.086927066814564,274.7,399.1,-6.107105262694471,-164.29696437695094,164.41042922567507,-1.6079503600378864
