blue_peak,blue_x,blue_y,blue_xa,blue_ya,blue_xc,blue_yc,red_x,red_y,red_xa,red_ya,red_xc,red_yc,red_peak
28,338.520750790182,403.291762865739,0.260261322462155,0.117378390578746,2.4375881149854,4.10695484945455,552.335772833091,225.271468908286,0.14385432980339,0.0180830365447574,1.94047933741529,37.4398694052977,6
29,338.650825635381,403.419733460479,0.255198368614936,0.121559825752815,2.65516621090273,4.23607379834717,592.407917367037,228.785034598212,0.0291015528381469,0.0235121497209259,47.3212708170064,25.36151416484,6
29,338.552744098575,403.386320181648,0.248345377809704,0.118961673818463,2.61169092116943,4.15115328850425,559.34481034538,237.327645753988,0.0337124747427351,0.020963141033141,14.3554999756044,15.1042015201218,5
29,338.46070687316,403.366105206738,0.262884595900206,0.119824030762874,2.54228078810427,4.28460243777546,556.422176151158,237.634807970214,0.0424985297466832,0.025040718654024,11.7923141340345,13.9935522927489,5
28,338.533325443468,403.417255181178,0.263261021961495,0.119468772051905,2.51174263979392,4.20306079357893,590.394154411539,226.958188103038,0.0272625842911367,0.0242381726190204,47.9254262936436,21.5625119309615,5
28,338.681898434057,403.333605318832,0.24371291638569,0.112365889965946,2.57560827514578,4.22587712974219,560.027838291673,312.039979587268,0.0343656851037922,0.0187441852849285,13.1255534116842,10.1190438297431,5
28,338.75368736471,403.401213958114,0.23118973120956,0.111752365103866,2.69569112408912,4.19844286440572,562.006490023663,240.623471972978,0.0705700195862539,0.0234005508411488,8.96296287357272,23.4737067995947,5
28,338.680158287395,403.620240313627,0.241274438928899,0.108123921957391,2.58103549608355,4.40048188847417,552.494888208644,236.550124994321,0.146101479974836,0.022997672417576,1.56665523749994,11.320990762705,5
28,338.661176533756,403.47640288317,0.237627965581582,0.1125098941153,2.67100044919537,4.28047301639523,559.527168869047,234.812208142528,0.0365097552852958,0.0146633052605916,13.3579850943176,29.7019701629628,5
28,338.57049946335,403.419560585359,0.237075230600903,0.114865992100453,2.70194977428065,4.25458885295035,587.45157051923,308.999882202003,0.0263269648293881,0.0251467528407072,44.9694980188409,12.9327366905596,6
